o0990815	1294C
o0990816	1294D
o0990817	1294E
o0990818	1294F
o0990819	12950
o0990820	12951
o0990821	12952
o0990822	12953
o0990823	12954
o0990824	12955
o0990825	12956
o0990826	12957
o0990827	12958
o0990828	12959
o0990829	1295A
o0990830	1295B
o0990832	1295C
o0990833	1295D
o0990834	1295E
o0990835	1295F
o0990837	12960
o0990839	12961
o0990840	12962
o0990841	12963
o0990843	12964
o0990844	12965
o0990846	12967
o0990847	12968
o0990848	12969
o0990849	1296A
o0990850	1296B
o0990852	1296C
o0990855	1296F
o0990857	12971
o0990858	12972
o0990859	12973
o0990860	12974
o0990861	12975
o0990862	12976
o0990863	12977
o0990864	12978
o0990865	12979
o0990866	1297A
o0990867	1297B
o0990868	1297C
o0990869	1297D
o0990870	1297E
o0990872	1297F
o0990873	12980
o0990875	12981
o0990876	12982
o0990877	12983
o0990878	12984
o0990879	12985
o0990880	12986
o0990881	12987
o0990883	12988
o0990884	12989
o0990887	1298A
o0990888	1298B
o0990889	1298C
o0990890	1298D
o0990891	1298E
o0990892	1298F
o0990895	12990
o0990897	12991
o0990899	12992
o0990900	12993
o0990901	12994
o0990903	12995
o0990905	12996
o0990907	12997
o0990909	12998
o0990910	12999
o0990911	1299A
o0990913	1299B
o0990914	1299C
o0990916	1299D
o0990918	1299E
o0990921	1299F
o0990922	129A0
o0990923	129A1
o0990924	129A2
o0990925	129A3
o0990926	129A4
o0990927	129A5
o0990934	129A6
o0990935	129A7
o0990937	129A8
o0990938	129A9
o0990939	129AA
o0990940	129AB
o0990942	129AC
o0990943	129AD
o0990946	129AE
o0990947	129AF
o0990948	129B0
o0990944	129B1
o0990945	129B2
o0990950	129B3
o0990951	129B4
o0990952	129B5
o0990954	129B6
o0990956	129B7
o0990955	129B8
o0990953	129B9
o0990958	129BA
o0990959	129BB
o0990960	129BC
o0990961	129BD
o0990964	129BE
o0990967	129BF
o0990962	129C0
o0990963	129C1
o0990968	129C2
o0990969	129C3
o0990970	129C4
o0990971	129C5
o0990972	129C6
o0990973	129C7
o0990974	129C8
o0990975	129C9
o0990976	129CA
o0990977	129CB
o0990978	129CC
o0990980	129CD
o0990981	129CE
o0990982	129CF
o0990983	129D0
o0990984	129D1
o0990985	129D2
o0990986	129D3
o0990987	129D4
o0990988	129D5
o0990989	129D6
o0990990	129D7
o0990991	129D8
o0990993	129D9
o0990992	129DA
o0990996	129DB
o0990998	129DC
o0990999	129DD
o0991000	129DE
o0991001	129DF
o0991002	129E0
o0991003	129E1
o0991004	129E2
o0991005	129E3
o0991006	129E4
o0991007	129E5
o0991008	129E6
o0991010	129E7
o0991011	129E8
o0991012	129E9
o0991013	129EA
o0991014	129EB
o0991015	129EC
o0991016	129ED
o0991017	129EE
o0991018	129EF
o0991019	129F0
o0991022	129F1
o0991023	129F2
o0991025	129F4
o0991026	129F5
o0991028	129F6
o0991030	129F7
o0991031	129F8
o0991032	129F9
o0991033	129FA
o0991034	129FB
o0991035	129FC
o0991036	129FD
o0991037	129FE
o0991038	129FF
o0991041	12A00
o0991042	12A01
o0991039	12A02
o0991040	12A03
o0991043	12A04
o0991044	12A05
o0991048	12A07
o0992738	12A08
o0992740	12A09
o0992741	12A0A
o0991054	12A0B
o0991055	12A0C
o0991056	12A0D
o0991057	12A0E
o0991058	12A0F
o0991059	12A10
o0991060	12A11
o0991061	12A12
o0991063	12A13
o0991064	12A14
o0991065	12A15
o0991066	12A16
o0991067	12A17
o0991068	12A18
o0991069	12A19
o0991070	12A1A
o0991071	12A1B
o0991072	12A1C
o0991073	12A1D
o0991074	12A1E
o0991075	12A1F
o0991076	12A20
o0991077	12A21
o0991078	12A22
o0991079	12A23
o0991081	12A24
o0991082	12A25
o0991083	12A26
o0991084	12A27
o0991085	12A28
o0991086	12A29
o0991087	12A2A
o0991089	12A2B
o0991090	12A2C
o0991091	12A2D
o0991092	12A2E
o0991094	12A2F
o0991095	12A30
o0991096	12A31
o0991098	12A32
o0991099	12A33
o0991101	12A34
o0991102	12A35
o0991103	12A36
o0991106	12A37
o0991108	12A38
o0991107	12A39
o0991109	12A3A
o0991111	12A3C
o0991112	12A3D
o0991113	12A3E
o0991114	12A3F
o0991115	12A40
o0991118	12A41
o0991119	12A42
o0991120	12A43
o0991121	12A44
o0991122	12A45
o0991123	12A46
