name	oid	lsort	sfsort	sfname	ucode	ucun	note	lfeat	lsname	lucun	limage	lvalues
BAU235		432	0								
BAU236	o0901304	433	1924	LU₂	U+129B6	𒦶						
BAU237	o0900058	434	61	ADDA	U+126B3	𒚳						
BAU238	o0900058	435	61	ADDA	U+126B3	𒚳						
BAU239	o0902227	436	7947	UB	U+12C1B	𒰛						
BAU240		437	0								
►BAU241		438	0				Read as sequence IGI IGI					
BAU242		439	0								
BAU243		440	0								
►BAU244		441	0				Read as sequence IGI EŠ₂					
BAU245	o0901771	442	2479	SIG₇	U+12AE3	𒫣						
BAU246	o0900139	443	148	BAN~b	U+126F1	𒛱						
BAU247	o0900797	444	1389	GEŠTU~a	U+12871	𒡱						
BAU248	o0900543	445	1113	ERIM~b2	U+127ED	𒟭						
BAU249	o0901421	446	2041	MUŠ₃~a~v2	U+12A03	𒨃						
►BAU250		447	0				Sealings only; form is similar to NINDA₂					
BAU251	o0900784	448	1378	GAR₃	U+1286C	𒡬						
BAU252	o0900154	449	163	BAR	U+126FD	𒛽						
BAU253	o0900983	450	1602	IB~a	U+128F4	𒣴						
►BAU254		451	0				Read as sequence X KA~a					
BAU255	o0900807	452	1421	GI~v1	U+12884	𒢄						
BAU256	o0900822	453	1415	|GI&GI|	U+1287F	𒡿						
BAU257		454	0								
BAU257a	o0900830	455	1433	GI₄~b	U+1288C	𒢌						
BAU257b	o0900830	456	1433	GI₄~b	U+1288C	𒢌						
BAU257c	o0900829	457	1430	GI₄~a	U+12889	𒢉						
BAU257d	o0900830	458	1433	GI₄~b	U+1288C	𒢌						
BAU258	o0902830	459	9257	ZI~a~v1	U+12DEC	𒷬						
►BAU259		460	0				Read as sequence ZI ZI (or possibly |ZI&ZI|)					
BAU260	o0900983	461	1602	IB~a	U+128F4	𒣴						
BAU261	o0901187	462	1875	LAGAB~b	U+12997	𒦗						
BAU262		463	0								
BAU263	o0900079	464	85	AMA~b	U+126C4	𒛄						
BAU264	o0900262	465	757	DIB	U+12743	𒝃						
BAU265	o0902222	466	3004	U₈~v2	U+12C19	𒰙						
BAU266	o0901754	467	2463	SIG₂~a3~v1	U+12AD4	𒫔						
BAU267	o0901656	468	2354	PU₂	U+12A9B	𒪛						
BAU268		469	0								
BAU269	o0901863	470	2586	SILA₄~c1	U+F3000	󳀀						
BAU270		471	0								
BAU271	o0901878	472	2602	SUG	U+12B20	𒬠						
BAU272	o0902243	473	7963	UDU~a	U+12C25	𒰥						
BAU273	o0901657	474	2355	RA	U+12A9C	𒪜						
BAU274	o0900928	475	1536	GUKKAL								
BAU275	o0902235	476	7955	UD₅~a~v1	U+12C21	𒰡						
BAU276		477	0								
BAU277		478	0								
BAU278	o0901861	479	2584	SILA₄~b	U+12B14	𒬔						
BAU279	o0901930	480	2666	ŠAGAN	U+12B46	𒭆						
BAU280	o0901879	481	2603	SUG₅	U+12B21	𒬡						
BAU281		482	0								
BAU282		483	0								
BAU283	o0901102	484	1727	KIN	U+12946	𒥆						
BAU284	o0902301	485	8026	UR								
BAU285	o0902324	486	8052	UR₄~b	U+12C5A	𒱚						
BAU286		487	0								
BAU287		488	0								
BAU288	o0900921	489	1531	GUG₂~v1	U+128CA	𒣊						
BAU289	o0901380	490	2002	ME~a	U+129E2	𒧢						
BAU290	o0903281	491	2123	|1(N58).BAD|	U+12E0D	𒸍						
BAU291	o0900225	492	712	DAM	U+12726	𒜦						
BAU292	o0901184	493	1807	LA₂	U+1297F	𒥿						
►BAU293		494	0				The sign form in BAU293 is incorrect; the PCSL sign list entry BAU293a					
BAU293a		495	0								
►BAU294		496	0				Unclear, UET 2 83 requires collation; probably read ŠE~a LA₂ as in i 4.					
►BAU295		497	0				Unclear, CDLI reads A SAR~a					
BAU296	o0900516	498	1087	EN~a~v3	U+127D9	𒟙						
BAU297	o0900312	499	815	DUB~a	U+1275F	𒝟						
BAU298	o0900552	500	1165	EZEN~b	U+12803	𒠃						
►BAU299		501	0				Read as part of ENKUM (UET 2 299 iii 4) and NINKUM# (ibid 5)					
BAU300	o0900551	502	1163	EZEN~a~v1	U+12801	𒠁						
BAU301	o0900119	503	129	BAD₃~a	U+126E1	𒛡						
BAU302		504	0								
BAU303	o0900589	505	1161	|EZEN~a×X₁|	U+F3066	󳁦						
BAU304		506	0								
BAU305		507	0								
►BAU306		508	0				Unclear, only in U.14896; |EZEN~a×KAK|?					
BAU307		509	0								
BAU308	o0900948	510	1558	GURUŠ~a	U+128DB	𒣛						
BAU309	o0902262	511	7995	UKKIN~a~v1	U+12C32	𒰲						
BAU310	o0900064	512	68	AL	U+126B8	𒚸						
BAU311	o0900053	513	56	AD~a	U+126AF	𒚯						
BAU312	o0900875	514	1476	GIŠ	U+128A7	𒢧						
BAU313	o0900885	515	1487	GIŠ@t	U+128AE	𒢮						
BAU314		516	0								
►BAU315		517	0				Unclear; CDLI |GEŠTIN×X|					
►BAU316		518	0				Uncertain; CDLI ZATU725?					
BAU317	o0900616	519	1234	GA₂~a1	U+12815	𒠕						
BAU318		520	0								
BAU319	o0900079	521	85	AMA~b	U+126C4	𒛄						
BAU320	o0900732	522	1322	GALGA~a	U+12850	𒡐						
BAU321		523	0								
►BAU322		524	0				Old Akkadian sign in supplement; GA₂×U₂.					
BAU323	o0902658	525	9050	|ZATU737×DI|	U+12D5A	𒵚						
BAU324	o0902683	526	9082	|ZATU737~v2×X|	U+12D69	𒵩						
BAU325	o0901385	527	2007	MEN~a~v1	U+129E6	𒧦						
BAU326	o0901060	528	1681	KAL~b2	U+12928	𒤨						
BAU327	o0901060	529	1681	KAL~b2	U+12928	𒤨						
BAU328	o0900673	530	1305	|GA₂~b×(1(N58).BAD)|								
BAU328	o0901461	530	2156	NAGAR~b	U+12A1D	𒨝						
BAU329	o0900907	531	1509	GU₂	U+128BD	𒢽						
BAU330	o0900907	532	1509	GU₂	U+128BD	𒢽						
BAU331	o0900907	533	1509	GU₂	U+128BD	𒢽						
BAU332	o0900484	534	1047	DUR~b	U+127C4	𒟄						
BAU333	o0900013	535	35	AB~a~v1	U+126A2	𒚢						
►BAU334		536	0				Seal U.14896 only. Possibly AB@g.					
BAU334bis	o0901479	537	2175	NANŠE~a	U+12A2C	𒨬						
BAU335	o0902294	538	8020	UNUG~a~v1	U+12C46	𒱆						
BAU336	o0902339	539	8076	URU~a1	U+12C63	𒱣						
BAU337		540	0								
BAU338	o0902375	541	8101	URUDU~a~v2	U+12C75	𒱵						
BAU339	o0902136	542	2910	TUN₃~a	U+12BD0	𒯐						
BAU340	o0901879	543	2603	SUG₅	U+12B21	𒬡						
BAU341	o0900114	544	121	AZU	U+126DD	𒛝						
BAU341	o0901657	544	2355	RA	U+12A9C	𒪜						
BAU342	o0900335	545	1010	DUG~b~v1	U+127AD	𒞭						
BAU343	o0900370	546	958	|DUG~b×HI|	U+12785	𒞅						
BAU344	o0901081	547	1706	KAŠ~b~v1	U+12938	𒤸						
BAU345	o0900370	548	958	|DUG~b×HI|	U+12785	𒞅						
BAU346		549	0								
BAU347	o0901280	550	1908	LAL₃~b	U+129AB	𒦫						
BAU348	o0900331	551	898	DUG~a	U+1276D	𒝭						
BAU349	o0900331	552	898	DUG~a	U+1276D	𒝭						
BAU350	o0901078	553	1702	KAŠ~a	U+12934	𒤴						
BAU351	o0901078	554	1702	KAŠ~a	U+12934	𒤴						
BAU352	o0900331	555	898	DUG~a	U+1276D	𒝭						
BAU353	o0901995	556	2740	ŠIM~a~v2	U+12B74	𒭴						
BAU354	o0900152	557	161	BAPPIR~e	U+126FB	𒛻						
BAU355	o0900152	558	161	BAPPIR~e	U+126FB	𒛻						
BAU356	o0902090	559	2857	TAG~e								
BAU357	o0901115	560	1740	KISAL~b1	U+12950	𒥐						
BAU358		561	0								
►BAU359		562	0				Uncertain; CDLI "E₂~a?"					
BAU360	o0901969	563	2716	ŠEN~a	U+12B60	𒭠						
BAU361	o0901674	564	2371	SA~a	U+12AA6	𒪦						
BAU362		565	0								
BAU363		566	0								
BAU364		567	0								
BAU365	o0900493	568	1059	E₂~a	U+127CA	𒟊						
►BAU366		569	0				Uncertain; CDLI X E₂~a					
BAU367	o0901062	570	1683	KALAM~a	U+12929	𒤩						
BAU368	o0900603	571	1186	GA~a~v4	U+1280F	𒠏						
BAU369	o0900604	572	1188	GA~b	U+12811	𒠑						
BAU369a	o0900786	573	1380	GARA₂~a	U+1286D	𒡭						
BAU370	o0900127	574	136	BAHAR₂~b~v1	U+126E7	𒛧						
BAU371	o0901709	575	2413	SANGA~a	U+12ABA	𒪺						
BAU372	o0900249	576	744	DARA₄~a1	U+12738	𒜸						
BAU373	o0900545	577	1115	ERIN	U+127EF	𒟯						
BAU374	o0900279	578	772	DU	U+1274D	𒝍						
►BAU375		579	0				Read by CDLI as sequence DU DU (or read |DU.DU|=lah₅ etc.)					
BAU376		580	0								
BAU377		581	0								
BAU378	o0902128	582	2902	TUM~a	U+12BCB	𒯋						
BAU379	o0902133	583	2903	TUM~a@g	U+12BCC	𒯌						
►BAU380		584	0				UET 2 308, later than ED I, probably ED III					
BAU381	o0901990	585	2735	ŠIDIM	U+12B70	𒭰						
BAU382	o0902309	586	8035	UR₂	U+12C4F	𒱏						
BAU383	o0901709	587	2413	SANGA~a	U+12ABA	𒪺						
BAU384		588	0								
BAU384a	o0901136	589	1761	KU~a	U+12960	𒥠						
BAU384b		590	0								
BAU384c	o0900485	591	1048	DUR₂	U+127C5	𒟅						
BAU384d	o0901138	592	1763	KU~b2	U+12962	𒥢						
BAU385		593	0								
BAU385a	o0901468	594	2163	NAM₂	U+12A23	𒨣						
BAU385b	o0901471	595	2167	NAM₂@t	U+12A26	𒨦						
BAU385c	o0902116	596	2887	TUG₂~a	U+12BC4	𒯄						
BAU386		597	0								
BAU386a	o0901962	598	2708	ŠE₃	U+12B5A	𒭚						
BAU386b	o0901964	599	2710	ŠE₃@t	U+12B5B	𒭛						
BAU387		600	0								
BAU387a	o0901470	601	2166	NAM₂@g	U+12A25	𒨥						
BAU387b		602	0								
BAU388	o0901000	603	1617	IM~a	U+128FE	𒣾						
BAU389	o0901513	604	2209	NI₂	U+12A41	𒩁						
BAU390	o0902004	605	2757	ŠITA~a1	U+12B7B	𒭻						
BAU391	o0901472	606	2168	NAMEŠDA	U+12A27	𒨧						
BAU392	o0901052	607	1674	KAK~a	U+12922	𒤢						
BAU393	o0900906	608	1507	GU	U+128BC	𒢼						
►BAU394		609	0				Read as GU GU (or read |GU.GU| for |GU%GU|=suh₃)					
BAU395		610	0								
BAU396	o0900779	611	1373	GAR	U+12868	𒡨						
BAU397	o0901697	612	2399	SAL	U+12AB5	𒪵						
BAU398	o0901699	613	2401	|SAL.KUR~a|	U+12AB6	𒪶						
BAU399		614	0								
BAU400	o0901704	615	2411	|SAL×1(N58)|	U+12AB9	𒪹						
BAU401	o0901524	616	2219	NIN	U+12A49	𒩉						
►BAU402		617	0				Read as sequence SAL E₂~a					
BAU403	o0902560	618	8943	ZATU687	U+12D09	𒴉						
BAU404	o0900211	619	699	BUR~a	U+1271B	𒜛						
BAU405		620	0								
BAU406	o0901502	621	2205	NI~b	U+12A3E	𒨾						
►BAU407		622	0				Read as sequence NI U₄ (or possibly NA₄)					
BAU408	o0901461	623	2156	NAGAR~b	U+12A1D	𒨝						
BAU409		624	0								
BAU410	o0901411	625	2031	MUN~b	U+129F9	𒧹						
BAU411	o0901012	626	1630	IR~d	U+12907	𒤇						
BAU412		627	0								
BAU413	o0900541	628	1111	ERIM~a	U+127EB	𒟫						
BAU414	o0902329	629	8057	URI	U+12C5E	𒱞						
BAU415	o0902142	630	2916	TUR~v3	U+12BD7	𒯗						
BAU416	o0900000	631	1	A	U+12690	𒚐						
BAU417		632	0								
BAU417a		633	0								
►BAU417b		634	0				Reference to text no. 83 incorrect; Burrows suggests "?=a+šeš (salt water)"					
BAU418	o0901159	635	1785	KUR~b	U+1296F	𒥯						
►BAU419		636	0				Symbol from seal					
►BAU420		637	0				Symbol from seal					
U+12A00	o0901424	3006	2042	MUŠ₃~a@g	U+12A00	𒨀						
U+12A01	o0901425	3007	2043	MUŠ₃~a@g~v1	U+12A01	𒨁						
U+12A02	o0901420	3008	2040	MUŠ₃~a~v1	U+12A02	𒨂						
U+12A03	o0901421	3009	2041	MUŠ₃~a~v2	U+12A03	𒨃						
U+12A04	o0901422	3010	2044	MUŠ₃~b	U+12A04	𒨄						
U+12A05	o0901426	3011	2046	MUŠEN	U+12A05	𒨅						
U+12A06	o0901429	3012	2048	|MUŠEN.UR₃~b2|	U+12A06	𒨆						
U+12A07	o0901435	3013	2053	|MUŠEN×X|	U+12A07	𒨇						
U+12A08	o0901430	3014	2054	|MUŠEN×1(N57)|	U+12A08	𒨈						
