250	𒙾	5(N34)	FIVE-N34	ignore		5(N34)		
251	𒙿	5(N34@f)	FIVE-N34 FLAT	ignore		5(N34@f)		
252	𒚀	5(N35)	FIVE-N35	ignore		5(N35)		
253	𒚁	5(N36)	FIVE-N36	ignore		5(N36)		
254	𒚂	5(N45)	FIVE-N45	ignore		5(N45)		
255	𒚃	5(N45@f)	FIVE-N45 FLAT	ignore		5(N45@f)		
256	𒚄	5(N48)	FIVE-N48	ignore		5(N48)		
257	𒚅	5(N49)	FIVE-N49	ignore		5(N49)		
258	𒚆	5(N50)	FIVE-N50	ignore		5(N50)		
259	𒚇	5(N51)	FIVE-N51	ignore		5(N51)		
260	𒚈	5(N51@f)	FIVE-N51 FLAT	ignore		5(N51@f)		
261	𒚉	5(N52)	FIVE-N52	ignore		5(N52)		
262	𒚊	5(N54)	FIVE-N54	ignore		5(N54)		
263	𒚋	5(N57)	FIVE-N57	ignore		5(N57)		
264	𒚌	5(N58)	FIVE-N58	ignore		5(N58)		
265	𒚍	6(N01)	SIX-N1	ignore		6(N01)		
266	𒚎	6(N01@f)	SIX-N1 FLAT	ignore		6(N01@f)		
267	𒚏	6(N02)	SIX-N2	ignore		6(N02)		
268	𒚐	6(N08)	SIX-N8	ignore		6(N08)		
269	𒚑	6(N14)	SIX-N14	ignore		6(N14)		
269.1	𒚒	6(N14)	SIX-N14 VARIANT 1	ignore		6(N14)~v1		
270	𒚓	6(N14@f)	SIX-N14 FLAT	ignore		6(N14@f)		
271	𒚔	6(N18)	SIX-N18	ignore		6(N18)		
272	𒚕	6(N19)	SIX-N19	ignore		6(N19)		
273	𒚖	6(N19@f)	SIX-N19 FLAT	ignore		6(N19@f)		
274	𒚗	6(N20)	SIX-N20	ignore		6(N20)		
275	𒚘	6(N21)	SIX-N21	ignore		6(N21)		
276	𒚙	6(N24)	SIX-N24	ignore		6(N24)		
277	𒚚	6(N34)	SIX-N34	ignore		6(N34)		
278	𒚛	6(N34@f)	SIX-N34 FLAT	ignore		6(N34@f)		
279	𒚜	6(N36)	SIX-N36	ignore		6(N36)		
280	𒚝	6(N45)	SIX-N45	ignore		6(N45)		
281	𒚞	6(N45@f)	SIX-N45 FLAT	ignore		6(N45@f)		
282	𒚟	6(N48)	SIX-N48	ignore		6(N48)		
283	𒚠	6(N51)	SIX-N51	ignore		6(N51)		
284	𒚡	6(N51@f)	SIX-N51 FLAT	ignore		6(N51@f)		
285	𒚢	6(N57)	SIX-N57	ignore		6(N57)		
285.1	𒚣	6(N57)	SIX-N57 VARIANT 1	ignore		6(N57)~v1		
286	𒚤	6(LAGAB~a)	SIX-LAGAB-A	ignore		6(LAGAB~a)		
287	𒚥	7(N01)	SEVEN-N1	ignore		7(N01)		
288	𒚦	7(N01@f)	SEVEN-N1 FLAT	ignore		7(N01@f)		
289	𒚧	7(N02)	SEVEN-N2	ignore		7(N02)		
290	𒚨	7(N08)	SEVEN-N8	ignore		7(N08)		
291	𒚩	7(N14)	SEVEN-N14	ignore		7(N14)		
292	𒚪	7(N14@f)	SEVEN-N14 FLAT	ignore		7(N14@f)		
293	𒚫	7(N18)	SEVEN-N18	ignore		7(N18)		
294	𒚬	7(N19)	SEVEN-N19	ignore		7(N19)		
295	𒚭	7(N19@f)	SEVEN-N19 FLAT	ignore		7(N19@f)		
296	𒚮	7(N20)	SEVEN-N20	ignore		7(N20)		
297	𒚯	7(N23)	SEVEN-N23	ignore		7(N23)		
298	𒚰	7(N34)	SEVEN-N34	ignore		7(N34)		
299	𒚱	7(N34@f)	SEVEN-N34 FLAT	ignore		7(N34@f)		
300	𒚲	7(N36)	SEVEN-N36	ignore		7(N36)		
301	𒚳	7(N45)	SEVEN-N45	ignore		7(N45)		
302	𒚴	7(N45@f)	SEVEN-N45 FLAT	ignore		7(N45@f)		
303	𒚵	7(N48)	SEVEN-N48	ignore		7(N48)		
304	𒚶	7(N51)	SEVEN-N51	ignore		7(N51)		
305	𒚷	7(N51@f)	SEVEN-N51 FLAT	ignore		7(N51@f)		
306	𒚸	7(N57)	SEVEN-N57	ignore		7(N57)		
307	𒚹	8(N01)	EIGHT-N1	ignore		8(N01)		
308	𒚺	8(N01@f)	EIGHT-N1 FLAT	ignore		8(N01@f)		
309	𒚻	8(N02)	EIGHT-N2	ignore		8(N02)		
310	𒚼	8(N08)	EIGHT-N8	ignore		8(N08)		
311	𒚽	8(N14)	EIGHT-N14	ignore		8(N14)		
312	𒚾	8(N14@f)	EIGHT-N14 FLAT	ignore		8(N14@f)		
313	𒚿	8(N18)	EIGHT-N18	ignore		8(N18)		
314	𒛀	8(N19)	EIGHT-N19	ignore		8(N19)		
315	𒛁	8(N19@f)	EIGHT-N19 FLAT	ignore		8(N19@f)		
316	𒛂	8(N20)	EIGHT-N20	ignore		8(N20)		
317	𒛃	8(N34)	EIGHT-N34	ignore		8(N34)		
318	𒛄	8(N34@f)	EIGHT-N34 FLAT	ignore		8(N34@f)		
319	𒛅	8(N36)	EIGHT-N36	ignore		8(N36)		
320	𒛆	8(N45@f)	EIGHT-N45 FLAT	ignore		8(N45@f)		
321	𒛇	8(N51)	EIGHT-N51	ignore		8(N51)		
322	𒛈	8(N51@f)	EIGHT-N51 FLAT	ignore		8(N51@f)		
323	𒛉	8(N57)	EIGHT-N57	ignore		8(N57)		
324	𒛊	8(N58)	EIGHT-N58	ignore		8(N58)		
325	𒛋	9(N01)	NINE-N1	ignore		9(N01)		
325.1	𒛌	9(N01)	NINE-N1 VARIANT 1	ignore		9(N01)~v1		
326	𒛍	9(N01@f)	NINE-N1 FLAT	ignore		9(N01@f)		
327	𒛎	9(N02)	NINE-N2	ignore		9(N02)		
328	𒛏	9(N08)	NINE-N8	ignore		9(N08)		
329	𒛐	9(N14)	NINE-N14	ignore		9(N14)		
330	𒛑	9(N14@f)	NINE-N14 FLAT	ignore		9(N14@f)		
331	𒛒	9(N18)	NINE-N18	ignore		9(N18)		
331.1	𒛓	9(N18)	NINE-N18 VARIANT 1	ignore		9(N18)~v1		
332	𒛔	9(N19)	NINE-N19	ignore		9(N19)		
332.1	𒛕	9(N19)	NINE-N19 VARIANT 1	ignore		9(N19)~v1		
333	𒛖	9(N19@f)	NINE-N19 FLAT	ignore		9(N19@f)		
334	𒛗	9(N20)	NINE-N20	ignore		9(N20)		
335	𒛘	9(N34)	NINE-N34	ignore		9(N34)		
336	𒛙	9(N34@f)	NINE-N34 FLAT	ignore		9(N34@f)		
337	𒛚	9(N36)	NINE-N36	ignore		9(N36)		
338	𒛛	9(N45)	NINE-N45	ignore		9(N45)		
339	𒛜	9(N45@f)	NINE-N45 FLAT	ignore		9(N45@f)		
340	𒛝	9(N51@f)	NINE-N51 FLAT	ignore		9(N51@f)		
341	𒛞	9(N57)	NINE-N57	ignore		9(N57)		
