210	ignore				𒙕	4(N34@f)	4(N34@f)	FOUR-N34 FLAT
211	ignore				𒙖	4(N36)	4(N36)	FOUR-N36
212	ignore				𒙗	4(N39~a)	4(N39~a)	FOUR-N39-A
213	ignore				𒙘	4(N39~b)	4(N39~b)	FOUR-N39-B
214	ignore				𒙙	4(N40)	4(N40)	FOUR-N40
215	ignore				𒙚	4(N41)	4(N41)	FOUR-N41
216	ignore				𒙛	4(N42~a)	4(N42~a)	FOUR-N42-A
217	ignore				𒙜	4(N42~b)	4(N42~b)	FOUR-N42-B
218	ignore				𒙝	4(N43)	4(N43)	FOUR-N43
219	ignore				𒙞	4(N45)	4(N45)	FOUR-N45
220	ignore				𒙟	4(N45@f)	4(N45@f)	FOUR-N45 FLAT
221	ignore				𒙠	4(N48)	4(N48)	FOUR-N48
222	ignore				𒙡	4(N49)	4(N49)	FOUR-N49
223	ignore				𒙢	4(N50)	4(N50)	FOUR-N50
224	ignore				𒙣	4(N51)	4(N51)	FOUR-N51
225	ignore				𒙤	4(N51@f)	4(N51@f)	FOUR-N51 FLAT
226	ignore				𒙥	4(N52)	4(N52)	FOUR-N52
227	ignore				𒙦	4(N54)	4(N54)	FOUR-N54
228	ignore				𒙧	4(N57)	4(N57)	FOUR-N57
229	ignore				𒙨	4(N58)	4(N58)	FOUR-N58
230	ignore				𒙩	4(N59)	4(N59)	FOUR-N59
231	ignore				𒙪	4(N62)	4(N62)	FOUR-N62
232	ignore				𒙫	4(LAGAB~a)	4(LAGAB~a)	FOUR-LAGAB-A
233	ignore				𒙬	5(N01)	5(N01)	FIVE-N1
234	ignore				𒙭	5(N01@f)	5(N01@f)	FIVE-N1 FLAT
235	ignore				𒙮	5(N02)	5(N02)	FIVE-N2
236	ignore				𒙯	5(N03)	5(N03)	FIVE-N3
237	ignore				𒙰	5(N04)	5(N04)	FIVE-N4
238	ignore				𒙱	5(N04@f)	5(N04@f)	FIVE-N4 FLAT
239	ignore				𒙲	5(N05)	5(N05)	FIVE-N5
240	ignore				𒙳	5(N08)	5(N08)	FIVE-N8
241	ignore				𒙴	5(N14)	5(N14)	FIVE-N14
241.1	ignore				𒙵	5(N14)	5(N14)~v1	FIVE-N14 VARIANT 1
242	ignore				𒙶	5(N14@f)	5(N14@f)	FIVE-N14 FLAT
243	ignore				𒙷	5(N15)	5(N15)	FIVE-N15
244	ignore				𒙸	5(N18)	5(N18)	FIVE-N18
245	ignore				𒙹	5(N19)	5(N19)	FIVE-N19
246	ignore				𒙺	5(N19@f)	5(N19@f)	FIVE-N19 FLAT
247	ignore				𒙻	5(N20)	5(N20)	FIVE-N20
248	ignore				𒙼	5(N21)	5(N21)	FIVE-N21
249	ignore				𒙽	5(N23)	5(N23)	FIVE-N23
