   1 g	o0901409..	@pcsl/pc25%pc:s/=MUN~a3--#wn%qpc:#u%:#a1#a1#u0#+k-------	MUN~a3
   1 g	o0901413..	@pcsl/pc25%pc:s/=MUNŠUB~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	MUNŠUB~a
   1 g	o0901413..	@pcsl/pc25%pc:s/=MUNŠUB~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	MUNŠUB~a
   6 g	o0901419..	@pcsl/pc25%pc:s/=MUŠ₃~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	MUŠ₃~a
   3 g	o0901452..	@pcsl/pc25%pc:s/=NAGA~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	NAGA~a
   2 g	o0901453..	@pcsl/pc25%pc:s/=NAGA~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	NAGA~b
   2 g	o0901465..	@pcsl/pc25%pc:s/=NAM~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	NAM~b
   3 g	o0901468..	@pcsl/pc25%pc:s/NAM₂=NAM₂--#wn%qpc:#u%:#a1#a1#u0#+k-------	NAM₂
   1 g	o0901479..	@pcsl/pc25%pc:s/=NANŠE~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	NANŠE~a
   5 g	o0901483..	@pcsl/pc25%pc:s/=NE~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	NE~a
   1 g	o0901486..	@pcsl/pc25%pc:s/=NE~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	NE~b
   5 g	o0901496..	@pcsl/pc25%pc:s/=NESAG₂~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	NESAG₂~b
   1 g	o0901502..	@pcsl/pc25%pc:s/=NI~b--#wn%qpc:#u%:#a1#a1#u0#.k-------	NI~b
   1 g	o0901502..	@pcsl/pc25%pc:s/=NI~b--#wn%qpc:#u%:#a1#a1#u0#+k?------	NI~b
   1 g	o0901510..	@pcsl/pc25%pc:c/X=|NI~b×X|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|NI~b×X|
