o0903191	ACN	4(N51)	N	-	𒖝	-
o0903192	ACN	5(N51)	N	-	𒖞,󰃊	-
o0903193	ACN	6(N51)	N	-	𒖟,󰃋	-
o0903194	ACN	7(N51)	N	-	𒖠,󰃌	-
o0903195	ACN	8(N51)	N	-	𒖡,󰃍	-
o0903307	ACN	9(N51)	N	-	𒖢	-
o0903179	ACN	1(N51@f)	N	-	𒙬	-
o0903180	ACN	2(N51@f)	N	-	𒙭,󰃎	-
o0903181	ACN	3(N51@f)	N	-	𒙮	-
o0903182	ACN	4(N51@f)	N	-	𒙯	-
o0903183	ACN	5(N51@f)	N	-	𒙰,󰃏	-
o0903184	ACN	6(N51@f)	N	-	𒙱,󰃐	-
o0903185	ACN	7(N51@f)	N	-	𒙲,󰃑	-
o0903186	ACN	8(N51@f)	N	-	𒙳,󰃒	-
o0903187	ACN	9(N51@f)	N	-	𒙴,󰃓	-
o0903196	ACN	1(N52)	N	-	𒗠	-
o0903197	ACN	2(N52)	N	-	𒗡,󰃔	-
o0903198	ACN	3(N52)	N	-	𒗢	-
o0903199	ACN	4(N52)	N	-	𒗣	-
o0903200	ACN	5(N52)	N	-	𒗤,󰃕	-
o0903330	ACN	6(N52)	N	-	𒗥	-
o0903331	ACN	7(N52)	N	-	𒗦	-
o0903332	ACN	8(N52)	N	-	𒗧	-
o0903333	ACN	9(N52)	N	-	𒗨	-
o0903201	DNE	3(N53)	N	-	󰃮	-
o0903202	ACN	1(N54)	N	-	𒖣	-
o0903203	ACN	2(N54)	N	-	𒖤,󰃖	-
o0903204	ACN	3(N54)	N	-	𒖥	-
o0903205	ACN	4(N54)	N	-	𒖦	-
o0903206	ACN	5(N54)	N	-	𒖧,󰃗	-
o0903207	DNE	1(N55)	N	-	󰃯	-
o0903208	ACN	1(N56)	N	-	𒖨	-
o0903209	ACN	2(N56)	N	-	𒖩,󰃘	-
o0903210	PCE	1(N57)	N	-	󰄐	-
o0903222	PCE	2(N57)	N	-	󰄑	-
o0903234	PCE	3(N57)	N	-	󰄒	-
o0903257	PCE	4(N57)	N	-	󰄓	-
o0903264	PCE	5(N57)	N	-	󰄔	-
o0903268	PCE	6(N57)	N	-	󰄕	-
o0903269	VSP	6(N57)~v	N	-	󰃙	-
o0903273	PCE	7(N57)	N	-	󰄖	-
o0903275	PCE	8(N57)	N	-	󰄗	-
o0903278	PCE	9(N57)	N	-	󰄘	-
o0903279	PCE	10(N57)	N	-	󰄙	-
o0903280	PCE	1(N58)	N	-	󰄚	-
o0903284	PCE	2(N58)	N	-	󰄛	-
o0903285	PCE	3(N58)	N	-	󰄜	-
o0903288	PCE	4(N58)	N	-	󰄝	-
o0903289	PCE	5(N58)	N	-	󰄞	-
o0903290	PCE	8(N58)	N	-	󰄟	-
o0903291	PCE	9(N58)	N	-	󰄠	-
o0903292	PCE	10(N58)	N	-	󰄡	-
o0903293	PCE	12(N58)	N	-	󰄢	-
o0903294	PCE	1(N58@t)	N	-	󰄣	-
o0903295	ADD	1(N59)	N	-	󰄤	-
o0903296	ADD	2(N59)	N	-	󰄥	-
o0903297	ADD	3(N59)	N	-	󰄦	-
o0903298	ADD	4(N59)	N	-	󰄧	-
o0903299	ADD	6(N59)	N	-	󰄨	-
o0903301	ACN	1(N60)	N	-	𒗩	-
o0903302	ADD	3(N61)	N	-	󰄩	-
o0903303	ADD	4(N62)	N	-	󰄪	-
o0903304	ADD	1(N63)	N	-	󰄫	-
