o0903166	0×
o0902060	202×
o0902581	4×
o0900389	3×
o0903035	2×
o0903108	4×
o0902845	2×
o0900031	0×
o0901517	43×
o0903028	84×
o0900225	14×
o0902092	1×
o0900620	17×
o0900474	1×
o0901740	1×
o0902639	1×
o0902540	6×
o0901357	6×
o0902449	1×
o0901237	1×
o0902918	0×
o0903343	0×
o0903222	89×
o0901537	1×
o0900359	2×
o0901656	35×
o0902622	2×
o0903211	0×
o0901660	15×
o0900633	1×
o0903063	73×
o0901607	2×
o0900365	3×
o0902774	1×
o0900079	5×
o0900100	156×
o0901510	1×
o0901906	0×
o0901453	6×
o0901101	3×
o0901316	9×
o0900020	2×
o0902359	0×
o0900902	1×
o0902413	1×
o0902588	4×
o0902554	1×
o0903405	1×
o0902041	0×
o0902261	89×
o0901203	0×
o0900733	0×
o0900787	0×
o0902430	6×
o0900456	3×
o0902480	5×
o0900388	0×
o0900950	4×
o0900823	1×
o0900229	12×
o0902547	1×
o0901516	65×
o0900621	1×
o0900217	160×
o0901153	6×
o0901951	3×
o0900587	1×
o0903250	1×
o0901369	1×
o0901227	0×
o0900634	1×
o0901313	121×
o0900358	1×
o0900926	1×
o0900751	1×
o0900855	63×
o0901470	1×
o0900367	6×
o0901589	12×
o0901606	24×
o0901005	23×
o0902107	13×
o0901488	1×
o0901243	9×
o0900334	87×
o0900342	5×
o0901884	1×
o0901682	3×
o0901452	115×
o0901723	21×
o0903137	96×
o0902078	1×
o0903167	0×
o0902061	31×
o0901499	0×
o0901860	10×
o0902778	1×
o0903267	4×
o0900382	1×
o0902479	50×
o0900937	15×
o0903220	26×
o0900732	12×
o0901437	88×
o0901715	1×
o0901495	0×
o0901544	3×
o0902248	10×
o0902963	13×
o0902620	1×
o0901742	4×
o0903065	34×
o0901657	4×
o0902623	3×
o0900063	1×
o0902342	4×
o0902098	1×
o0902083	23×
o0902546	1×
o0901648	91×
o0901521	65×
o0900410	1×
o0900575	1×
o0902775	1×
o0902632	1×
o0901108	1×
o0901898	1×
o0903079	4×
o0903162	25×
o0900299	1×
o0902448	1×
o0902631	19×
o0901601	1×
o0902412	1×
o0900814	2×
o0903068	11×
o0902068	33×
o0902404	1×
o0902596	18×
o0902444	0×
o0901018	1×
o0902100	84×
o0900938	30×
o0902463	1×
o0902629	1×
o0903174	38×
o0902154	0×
o0901438	6×
o0902626	17×
o0902489	1×
o0902208	30×
o0901888	12×
o0900948	46×
o0903219	4×
o0902696	1×
o0901184	53×
o0902616	31×
o0901714	1×
o0901664	0×
o0901201	1×
o0901033	1×
o0900786	36×
o0900668	2×
o0901312	10×
o0902030	0×
o0901908	7×
o0900692	1×
o0902105	1×
o0900062	42×
o0901480	6×
o0902580	2×
o0902106	2×
o0902938	59×
o0901649	2×
o0900228	13×
o0901404	2×
o0901384	28×
o0901899	1×
o0900945	6×
o0900554	5×
o0902630	4×
o0903124	3×
o0900635	10×
o0902501	0×
o0902779	3×
o0902024	0×
o0902768	4×
o0900971	0×
o0900425	19×
o0900526	9×
o0901320	5×
o0902962	18×
o0900911	1×
o0901133	12×
o0902621	17×
o0903064	68×
o0900655	0×
o0902425	7×
o0901439	4×
o0900328	0×
o0902103	61×
o0901861	22×
o0901816	3×
o0901496	20×
o0901000	65×
o0902066	4×
o0900934	2×
o0903164	6×
o0900386	4×
o0903178	4×
o0903133	1×
o0902114	1×
o0902410	0×
o0902553	0×
o0902592	1×
o0901528	2×
o0900619	1×
o0901614	90×
o0900320	1×
o0900391	13×
o0903159	10×
o0903001	8×
o0901748	1×
o0900069	0×
o0902594	1×
o0901113	14×
o0902597	2×
o0900944	1×
o0902624	3×
o0901915	4×
o0902967	2×
o0901852	1×
o0903169	7×
o0903061	224×
o0900177	13×
o0902725	4×
o0902038	223×
o0901301	7×
o0902841	4×
o0902974	47×
o0901310	8×
o0902804	0×
o0900215	34×
o0902313	4×
o0901427	0×
o0900305	4×
o0901909	1×
o0901169	7×
o0901862	40×
o0901827	1×
o0903353	12×
o0902424	2×
o0901195	0×
o0900654	1×
o0901440	0×
o0900206	3×
o0902393	2×
o0901074	9×
o0902939	66×
o0901146	1×
o0901001	10×
o0900099	0×
o0902373	28×
o0900445	7×
o0900660	1×
o0901744	55×
o0901114	0×
o0901304	24×
o0900528	1×
o0900618	1×
o0902544	6×
o0901615	8×
o0900068	5×
o0900728	2×
o0900623	3×
o0902879	65×
o0901241	0×
o0902252	13×
o0901132	3×
o0901959	25×
o0901547	1×
o0902692	11×
o0901904	15×
o0901268	7×
o0900920	118×
o0901810	1×
o0901914	6×
o0901472	67×
o0900437	7×
o0902669	1×
o0901170	1×
o0903234	315×
o0900511	5×
o0903228	2×
o0902701	105×
o0902075	0×
o0902487	34×
o0901016	4×
o0901413	2×
o0901060	8×
o0902259	2×
o0901326	1×
o0902648	1×
o0901681	7×
o0903165	0×
o0902206	131×
o0902363	3×
o0902381	2×
o0900778	190×
o0902461	1×
o0902582	5×
o0900239	1×
o0900381	3×
o0902392	9×
o0903158	14×
o0901749	0×
o0903000	5×
o0903239	0×
o0901265	4×
o0902595	3×
o0903083	9×
o0902961	1×
o0900912	246×
o0902543	1×
o0900081	3×
o0901809	2×
o0901616	4×
o0903138	8×
o0900595	1×
o0901387	35×
o0902625	3×
o0903060	1×
o0902976	35×
o0902022	0×
o0902777	6×
o0902357	1×
o0902253	1×
o0902975	30×
