𒦪	o0901279	129AA	LAL₃~a
𒙔	o0902856	12654	9(N01@f)
󰁬	o0903448	F006C	9(N01@f)~1
𒱏	o0902309	12C4F	UR₂
𒝳	o0900394	12773	|DUG~a×1(N57)|
𒦋	o0901231	1298B	|LAGAB~a×PA~a|
𒠵	o0900670	12835	|GA₂~a1×3(N57)|
𒕛	o0902914	1255B	3(N08)
𒟫	o0900541	127EB	ERIM~a
󲝞	o0900223	F275E	DAG
𒲠	o0902437	12CA0	ZATU622
𒜋	o0900175	1270B	BU~a
𒜓	o0900176	12713	BU~a~1
𒘤	o0903026	12624	1(N27)
󰂢	o0903502	F00A2	1(N27)~1
𒪃	o0901623	12A83	NUNUZ~a1@t
𒭽	o0902020	12B7D	|ŠITA~a1×ŠU|
𒱅	o0902300	12C45	UNUG~a@s
𒣳	o0900981	128F3	I
𒠗	o0900631	12817	|GA₂~a1×EN~b|
𒖀	o0903306	12580	8(N45)
𒲶	o0902463	12CB6	ZATU632~b
𒘹	o0902994	12639	4(N20)
𒗺	o0902968	125FA	7(N18)
󰂍	o0903481	F008D	7(N18)~1
𒦦	o0901270	129A6	LAL₂~a
𒶲	o0902765	12DB2	ZATU798
𒷘	o0902805	12DD8	ZATU838
𒫻	o0901834	12AFB	|SILA₃~a×NUN~b|
𒜂	o0900162	12702	BARA₃
𒗁	o0902873	125C1	4(N02)
󲷼	o0902052	F2DFC	|ŠU₂.2(N57)|
󳁈	o0901728	F3048	|SI×EN~a|
𒰦	o0902247	12C26	|UDU~a×TAR~a|
𒶸	o0902772	12DB8	ZATU804
𒦁	o0901191	12981	|LAGAB~a×BA|
𒴅	o0902555	12D05	ZATU685
𒦄	o0901205	12984	|LAGAB~a×KAK~a|
𒰡	o0902235	12C21	UD₅~a
𒰟	o0902234	12C1F	UD₅~a~1
𒰢	o0902236	12C22	UD₅~a~2
𒩀	o0901508	12A40	|NI~b×4(N57)|
󳃀	o0903707	F30C0	|NI~b×4(N57)|~1
𒱍	o0902303	12C4D	UR~b
𒦧	o0901273	129A7	|LAL₂~a×EZEN~a|
𒬑	o0901858	12B11	|SILA₃~c×ZATU687|
𒛒	o0900100	126D2	APIN~a
𒯃	o0902114	12BC3	TU~c
𒜪	o0900229	1272A	DAR~b
𒧦	o0901385	129E6	MEN~a
𒧥	o0901384	129E5	MEN~a~1
󳃫	o0903750	F30EB	MEN~a~2
𒖾_𒪣	o0902869	125BE	|1(N02).RU|
𒘛	o0903087	1261B	6(N36)
󰂶	o0903522	F00B6	6(N36)~1
𒕾	o0903141	1257E	6(N45)
󰂽	o0903529	F00BD	6(N45)~1
𒢺	o0900903	128BA	GIŠIMMAR~b3
𒜻	o0900252	1273B	DARA₄~b
𒷭	o0902831	12DED	ZI~b
𒞎	o0900408	1278E	|DUG~b×NAGA~a|
𒲻	o0902469	12CBB	ZATU635
𒙡	o0903072	12661	3(N34@f)
𒲦	o0902444	12CA6	ZATU624~c
𒡧	o0900778	12867	GAN₂
𒰁	o0902194	12C01	|U₄×8(N01).X|
𒯨	o0902168	12BE8	|U₄.6(N08)|
󰄘	o0903278	F0118	9(N57)
𒛙	o0900109	126D9	ARATTA
𒚳	o0900058	126B3	ADDA
𒚫	o0900047	126AB	ABGAL
𒚫	o0900047	126AB	ABGAL~1
𒚬	o0900048	126AC	ABGAL~2
𒜗	o0900181	12717	|BU~b.NA₂~a|
𒭞	o0901966	12B5E	ŠEG₉
󳃊	o0903717	F30CA	ŠEG₉~1
𒣩	o0900964	128E9	|HI.SUHUR|
𒣧	o0900962	128E7	|HI.SUHUR|~1
𒣨	o0900963	128E8	|HI.SUHUR|~2
𒜤	o0900220	12724	DA~d
𒕰	o0903065	12570	6(N34)
󰂨	o0903508	F00A8	6(N34)~1
𒗯	o0902879	125EF	1(N03)
𒠒	o0900605	12812	GA~c
󳂁	o0903662	F3081	1(N30CA)
𒭱	o0901991	12B71	ŠIDIM@t
𒘎	o0902975	1260E	4(N19)
𒶾	o0902778	12DBE	ZATU810
𒩦	o0901560	12A66	|NINDA₂×1(N08)|
𒰬	o0902252	12C2C	UDUNITA~c
𒲌	o0902408	12C8C	UTUL~c
󲹃	o0902181	F2E43	|U₄×1(N01@f)|
𒯀	o0902109	12BC0	TILLA₂
󳀒	o0902058	F3012	|ŠU₂×3(N57)|
󰃩	o0903155	F00E9	3(N46)
𒰘	o0902221	12C18	U₈
𒰖	o0902220	12C16	U₈~1
𒰙	o0902222	12C19	U₈~2
𒰚	o0902223	12C1A	U₈~3
𒗴	o0902962	125F4	1(N18)
𒵠	o0902673	12D60	|ZATU737×SU~a|
𒢩	o0900879	128A9	|(GIŠ×(DIN.DIN))~a|
󳀾	o0901070	F303E	KALAM~h2
𒭬	o0901984	12B6C	ŠENNUR~b
𒴯	o0902605	12D2F	ZATU710
𒴰	o0902606	12D30	ZATU710~1
󳂨	o0903683	F30A8	ZATU710~2
𒩓	o0901544	12A53	|NINDA₂×GIŠ|
󲲂	o0900460	F2C82	|DUG~a×X|
𒝮	o0900375	1276E	|DUG~a×KASKAL|
𒝚	o0900303	1275A	|DU₈~c×HI|
𒚥	o0900023	126A5	|AB~b×KU₆~a|
𒮸	o0902100	12BB8	TAR~a
𒰜	o0902229	12C1C	UBI~a
𒫛	o0901759	12ADB	SIG₂~c2
𒛝	o0900114	126DD	AZU
𒢣	o0900870	128A3	GIR₃@g~b
𒧫	o0901391	129EB	MIR~b
󳀶	o0900563	F3036	|EZEN~a×KAŠ~b|
𒙨	o0903144	12668	1(N45@f)
󲤀	o0901309	F2900	LU₂@t
𒬆	o0901856	12B06	|SILA₃~a×(ZATU659.TU~c)|
𒧣	o0901381	129E3	ME~b
𒘟	o0903169	1261F	1(N49)
󳁬	o0900658	F306C	|GA₂~b×KU₆~a|
󲸑	o0901787	F2E11	|SILA₃~a×DUG~b|
𒯁	o0902111	12BC1	TU~a
