serial	char	cdli	ap23-name	action	comment	pcsl	new-name	new-code	sort	components
178	𒘵	3(N48)	THREE-N48	ignore		3(N48)			2475	
179	𒘶	3(N49)	THREE-N49	ignore		3(N49)			2482	
180	𒘷	3(N50)	THREE-N50	ignore		3(N50)			2487	
181	𒘸	3(N51)	THREE-N51	ignore		3(N51)			2494	
182	𒘹	3(N51@f)	THREE-N51 FLAT	ignore		3(N51@f)			2495	
183	𒘺	3(N52)	THREE-N52	ignore		3(N52)			2509	
184	𒘻	3(N53)	THREE-N53	ignore		3(N53)			2512	
185	𒘼	3(N54)	THREE-N54	ignore		3(N54)			2515	
186	𒘽	3(N57)	THREE-N57	ignore		3(N57)			2547	
187	𒘾	3(N58)	THREE-N58	ignore		3(N58)			2605	
188	𒘿	3(N59)	THREE-N59	ignore		3(N59)			2616	
189	𒙀	3(N61)	THREE-N61	ignore		3(N61)			2621	
190	𒙁	4(N01)	FOUR-N1	ignore		4(N01)			2162	
191	𒙂	4(N01@f)	FOUR-N1 FLAT	ignore		4(N01@f)			2163	
192	𒙃	4(N02)	FOUR-N2	ignore		4(N02)			2181	
193	𒙄	4(N03)	FOUR-N3	ignore		4(N03)			2190	
194	𒙅	4(N04)	FOUR-N4	ignore		4(N04)			2199	
195	𒙆	4(N04@f)	FOUR-N4 FLAT	ignore		4(N04@f)			2200	
196	𒙇	4(N05)	FOUR-N5	ignore		4(N05)			2206	
197	𒙈	4(N08)	FOUR-N8	ignore		4(N08)			2228	
198	𒙉	4(N08~b)	FOUR-N8-B	ignore		4(N08~b)			2230	
199	𒙊	4(N08~c)	FOUR-N8-C	ignore		4(N08~c)			2231	
200	𒙋	4(N14)	FOUR-N14	ignore		4(N14)			2247	
201	𒙌	4(N14@f)	FOUR-N14 FLAT	ignore		4(N14@f)			2248	
202	𒙍	4(N15)	FOUR-N15	ignore		4(N15)			2269	
203	𒙎	4(N18)	FOUR-N18	ignore		4(N18)			2276	
204	𒙏	4(N19)	FOUR-N19	ignore		4(N19)			2289	
205	𒙐	4(N19@f)	FOUR-N19 FLAT	ignore		4(N19@f)			2290	
206	𒙑	4(N20)	FOUR-N20	ignore		4(N20)			2305	
207	𒙒	4(N21)	FOUR-N21	ignore		4(N21)			2313	
208	𒙓	4(N24)	FOUR-N24	ignore		4(N24)			2331	
209	𒙔	4(N34)	FOUR-N34	ignore		4(N34)			2378	
210	𒙕	4(N34@f)	FOUR-N34 FLAT	ignore		4(N34@f)			2379	
211	𒙖	4(N36)	FOUR-N36	ignore		4(N36)			2397	
212	𒙗	4(N39~a)	FOUR-N39-A	ignore		4(N39~a)			2418	
213	𒙘	4(N39~b)	FOUR-N39-B	ignore		4(N39~b)			2419	
214	𒙙	4(N40)	FOUR-N40	ignore		4(N40)			2425	
215	𒙚	4(N41)	FOUR-N41	ignore		4(N41)			2429	
216	𒙛	4(N42~a)	FOUR-N42-A	ignore		4(N42~a)			2440	
217	𒙜	4(N42~b)	FOUR-N42-B	ignore		4(N42~b)			2441	
218	𒙝	4(N43)	FOUR-N43	ignore		4(N43)			2443	
219	𒙞	4(N45)	FOUR-N45	ignore		4(N45)			2453	
220	𒙟	4(N45@f)	FOUR-N45 FLAT	ignore		4(N45@f)			2454	
221	𒙠	4(N48)	FOUR-N48	ignore		4(N48)			2476	
222	𒙡	4(N49)	FOUR-N49	ignore		4(N49)			2483	
223	𒙢	4(N50)	FOUR-N50	ignore		4(N50)			2488	
224	𒙣	4(N51)	FOUR-N51	ignore		4(N51)			2496	
225	𒙤	4(N51@f)	FOUR-N51 FLAT	ignore		4(N51@f)			2497	
226	𒙥	4(N52)	FOUR-N52	ignore		4(N52)			2510	
227	𒙦	4(N54)	FOUR-N54	ignore		4(N54)			2516	
228	𒙧	4(N57)	FOUR-N57	ignore		4(N57)			2570	
229	𒙨	4(N58)	FOUR-N58	ignore		4(N58)			2608	
230	𒙩	4(N59)	FOUR-N59	ignore		4(N59)			2617	
231	𒙪	4(N62)	FOUR-N62	ignore		4(N62)			2622	
232	𒙫	4(LAGAB~a)	FOUR-LAGAB-A	ignore		4(LAGAB~a)			1964	
233	𒙬	5(N01)	FIVE-N1	ignore		5(N01)			2164	
234	𒙭	5(N01@f)	FIVE-N1 FLAT	ignore		5(N01@f)			2165	
235	𒙮	5(N02)	FIVE-N2	ignore		5(N02)			2182	
236	𒙯	5(N03)	FIVE-N3	ignore		5(N03)			2191	
237	𒙰	5(N04)	FIVE-N4	ignore		5(N04)			2201	
238	𒙱	5(N04@f)	FIVE-N4 FLAT	ignore		5(N04@f)			2202	
239	𒙲	5(N05)	FIVE-N5	ignore		5(N05)			2207	
240	𒙳	5(N08)	FIVE-N8	ignore		5(N08)			2232	
241	𒙴	5(N14)	FIVE-N14	ignore		5(N14)			2250	
241.1	𒙵	5(N14)	FIVE-N14 VARIANT 1	ignore		5(N14)~v1			2249	
242	𒙶	5(N14@f)	FIVE-N14 FLAT	ignore		5(N14@f)			2251	
243	𒙷	5(N15)	FIVE-N15	ignore		5(N15)			2270	
244	𒙸	5(N18)	FIVE-N18	ignore		5(N18)			2277	
245	𒙹	5(N19)	FIVE-N19	ignore		5(N19)			2291	
246	𒙺	5(N19@f)	FIVE-N19 FLAT	ignore		5(N19@f)			2292	
