id_text	primary_publication	publication_history
P000114	CDLI Lexical 000030, ex. 026	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 049, W 15895,bt
P000115	CDLI Lexical 000002, ex. 059	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 15895,bu
P000116	CDLI Lexical 000007, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 025, W 15895,bv+
P000117	CDLI Lexical 000023, ex. 039	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 059, W 15895,bw
P000118	CDLI Lexical Archaic Unidentified, ex. 022	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15897,a4 + c28
P000120	CDLI Lexical 000023, ex. 034	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 058, W 15919,c
P000121	CDLI Lexical Archaic Unidentified, ex. 024	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 15920,a4
P000122	CDLI Lexical 000023, ex. 040	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 059, W 15920,b6
P000123	CDLI Lexical 000002, ex. 118	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 017, W 15957,a
P000124	CDLI Lexical Archaic Unidentified, ex. 023	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15957,c
P000125	CDLI Lexical 000030, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 048, W 15957,e
P000126	CDLI Lexical Archaic Unidentified, ex. 025	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 15957,f
P000127	CDLI Lexical 000002, ex. 093	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15958,b; Green, Margaret W., VL 15 (1981) 355
P000128	CDLI Lexical 000007, ex. 012	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 027, W 15958,c
P000129	CDLI Lexical 000002, ex. 060	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 15958,d+
P000131	CDLI Lexical 000026, ex. 045	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 074, W 16621,a
P000132	CDLI Lexical Archaic Unidentified, ex. 026	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 16728,1
P000133	CDLI Lexical 000011, ex. 009	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 029, W 16728,2
P000134	CDLI Lexical 000023, ex. 067	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 063, W 16728,3
P000135	CDLI Lexical Archaic Unidentified, ex. 028	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 16728,4
P000136	CDLI Lexical Archaic Unidentified, ex. 029	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 16728,5
P000137	CDLI Lexical Archaic Unidentified, ex. 030	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 16728,6
P000138	CDLI Lexical 000023, ex. 087	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 065, W 16728,7
P000139	CDLI Lexical 000028, ex. 03	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 16728,8, 
P000140	CDLI Lexical 000002, ex. 161	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 022, W 16728,9
P000141	CDLI Lexical Archaic Unidentified, ex. 027	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 087, W 16728,10
P000142	CDLI Lexical 000011, ex. 010	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 029, W 16918,a
P000143	CDLI Lexical 000026, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 068, W 16918,b
P000144	CDLI Lexical Archaic Unidentified, ex. 031	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 16918,c
P000145	CDLI Lexical 000023, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 055, W 16918,d
P000146	CDLI Lexical 000011, ex. 017	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 030, W 16918,e
P000147	CDLI Lexical 000002, ex. 108	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 016, W 16918,f
P000148	CDLI Lexical Archaic Unidentified, ex. 032	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 16918,g
P000149	CDLI Lexical Archaic Unidentified, ex. 033	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 16918,h
P000150	CDLI Lexical Archaic Unidentified, ex. 034	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 16918,i
P000151	CDLI Lexical Archaic Unidentified, ex. 035	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 16918,k
P000152	CDLI Lexical 000002, ex. 100	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 015, W 16918,l
P000153	CDLI Lexical 000023, ex. 027	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 057, W 17859,a
P000154	CDLI Lexical 000023, ex. 064	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 062, W 17902,a
P000155	CDLI Lexical 000026, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 071, W 17902,b
P000156	CDLI Lexical 000013, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 033, W 17902,d
P000157	CDLI Lexical 000023, ex. 046	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 060, W 17902,f
P000158	CDLI Lexical 000002, ex. 126	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 018, W 17902,h
P000159	CDLI Lexical 000002, ex. 025	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 005, W 17902,i
P000160	CDLI Lexical 000034, ex. 007	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 077, W 17902,m
P000161	CDLI Lexical 000002, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 17942
P000162	CDLI Lexical 000022, ex. 016	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 041, W 17950,f
P000163	CDLI Lexical 000002, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 17950,g
P000164	CDLI Lexical 000002, ex. 101	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 015, W 19296; van Dijk, UVB 16, Tf. 33g
P000165	CDLI Lexical 000002, ex. 109	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 016, W 19362,a
P000166	CDLI Lexical 000002, ex. 175	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 18, W 19412,8
P000167	ATU 3, pl. 080, W 19548,a+	
P000169	CDLI Lexical 000023, ex. 028	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 057, W 19640,a
P000170	CDLI Lexical 000002, ex. 004	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 19666,f
P000171	CDLI Lexical 000026, ex. 037	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 073, W 19667,e
P000172	CDLI Lexical Archaic Unidentified, ex. 037	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 19668,c
P000173	CDLI Lexical 000023, ex. 041	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 059, W 19724
P000174	CDLI Lexical 000002, ex. 094	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 19726,b
P000175	CDLI Lexical 000013, ex. 009	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 032, W 19726,c
P000176	CDLI Lexical Archaic Unidentified, ex. 038	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 19771,b
P000177	CDLI Lexical 000023, ex. 088	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 065, W 19771,c
P000178	CDLI Lexical Archaic Unidentified, ex. 039	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 088, W 19771,d
P000179	CDLI Lexical 000002, ex. 020	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 19771,e
