NUNUZ~c~v3	1298C
PA~a	1298D
PA~a~v1	1298E
PA~a~v2	1298F
PA~b	12990
PA₃	12991
PAD~a	12992
PAD~b	12993
PAP~a	12994
PAP~a@t	12995
PAP~b	12996
PAP~b~v1	12997
PIRIG~a1	12998
PIRIG~a2	12999
PIRIG~a3	1299A
PIRIG~b1	1299B
PIRIG~b2	1299C
PU₂	1299D
RA	1299E
RAD~a	1299F
RAD~a@t	129A0
RAD~a@g	129A1
RAD~b	129A2
RI	129A3
RI~x	129A4
RI₈~a	129A5
RI₈~b	129A6
RU	129A7
RU~v1	129A8
RU@t	129A9
SA~a	129AA
SA~c	129AB
SA~c~v1	129AC
SAG	129AD
SAG~v1	129AE
SAG~v2	129AF
SAG@g	129B0
SAG@n	129B1
SAGŠU	129B2
SAL	129B3
SANGA~a	129B4
SANGA~a~v1	129B5
SANGA~a~v2	129B6
SANGA~b	129B7
SANGA~b~v1	129B8
SANGA~c	129B9
SAR~a	129BA
SAR~b	129BB
SAR~c	129BC
ŠA	129BD
ŠA~v1	129BE
ŠA~v2	129BF
ŠA@g	129C0
ŠA₃~a1	129C1
ŠA₃~a2	129C2
ŠA₃~b	129C3
ŠA₃~c	129C4
ŠA₃~d	129C5
ŠAB~a	129C6
ŠAB~a~v1	129C7
ŠAB~b	129C8
ŠAB~b~v1	129C9
ŠAGAN	129CA
ŠAGAN~v1	129CB
ŠAGINA	129CC
ŠAH₂~a	129CD
ŠAH₂~b	129CE
ŠAH₂~c	129CF
ŠAKIR~a	129D0
ŠAKIR~b	129D1
ŠAKIR~c	129D2
ŠAM₂	129D3
ŠANDANA~a	129D4
ŠANDANA~b	129D5
ŠE~a	129D6
ŠE~a@t	129D7
ŠE~b	129D8
ŠE~c	129D9
ŠE₃	129DA
ŠE₃~v1	129DB
ŠE₃@t	129DC
ŠE₃@t~v1	129DD
ŠEG₉	129DE
ŠELU	129DF
ŠEN~a	129E0
ŠEN~a~v1	129E1
ŠEN~b	129E2
ŠEN~b~v1	129E3
ŠEN~c	129E4
ŠEN~c@t	129E5
ŠEN~d	129E6
ŠEN~d~v1	129E7
ŠEN~d~v2	129E8
ŠEN~e	129E9
ŠENNUR~a	129EA
ŠENNUR~b	129EB
ŠEŠ~a	129EC
ŠEŠ~a~v1	129ED
ŠEŠ~b	129EE
ŠIDIM	129EF
ŠIDIM@t	129F0
ŠIM~a	129F1
ŠIM~a~v1	129F2
ŠIM~a~v2	129F3
ŠIM~b	129F4
ŠIR~a	129F5
ŠIR~a~v1	129F6
ŠIR~b	129F7
ŠIR~b~v1	129F8
ŠIR~b~v2	129F9
ŠITA~a1	129FA
ŠITA~a2	129FB
ŠITA~a3	129FC
ŠITA~b1	129FD
ŠITA~b2	129FE
ŠITA~b3	129FF
ŠITA~c	12A00
ŠITA~b3@g	12A01
ŠITA~b1@g	12A02
ŠITA~a1@g	12A03
ŠU	12A04
ŠU@g	12A05
ŠU@s	12A06
ŠU₂~a	12A07
ŠU₂~b	12A08
ŠU₁₂	12A09
ŠUBUR	12A0A
ŠUM	12A0B
ŠUR₂~a	12A0C
ŠUR₂~b	12A0D
ŠURUPPAK~a	12A0E
ŠURUPPAK~a~v1	12A0F
ŠURUPPAK~b	12A10
ŠURUPPAK~b~v1	12A11
ŠURUPPAK~c	12A12
SI	12A13
SI~v1	12A14
SI₄~a	12A15
SI₄~b	12A16
SI₄~c	12A17
SI₄~d	12A18
SI₄~d~v1	12A19
SI₄~f	12A1A
SI₄~f~v1	12A1B
SIG	12A1C
SIG@g	12A1D
SIG₂~a1	12A1E
SIG₂~a2	12A1F
SIG₂~a3	12A20
SIG₂~a3~v1	12A21
SIG₂~a3~v2	12A22
SIG₂~a4	12A23
SIG₂~b	12A24
SIG₂~c1	12A25
SIG₂~c2	12A26
SIG₂~d1	12A27
SIG₂~d2	12A28
SIG₂~d2~v1	12A29
SIG₂~d3	12A2A
SIG₂~d4	12A2B
SIG₂~e	12A2C
SIG₄	12A2D
SIG₇	12A2E
SIG₇~v1	12A2F
SIKIL	12A30
SILA₃~a	12A31
SILA₃~b	12A32
SILA₃~c	12A33
SILA₄~a	12A34
SILA₄~b	12A35
SILA₄~c	12A36
SILA₄~d	12A37
SILANITA	12A38
SIMUG	12A39
SIMUG~v1	12A3A
SIPA	12A3B
SU~a	12A3C
SU~a~v1	12A3D
SU~b	12A3E
SU₃	12A3F
SUG	12A40
SUG₅	12A41
SUH₃	12A42
SUHUR	12A43
SUHUR@g	12A44
SUHUR@n	12A45
SUKKAL	12A46
SUKUD	12A47
SUKUD@g~a	12A48
SUKUD@g~b	12A49
SUKUD@g~b~v1	12A4A
SUKUD@g~c	12A4B
SUKUD@g~d	12A4C
SUM~a	12A4D
SUM~a~v1	12A4E
SUM~a@t	12A4F
SUM~b	12A50
SUMAŠ	12A51
SUR	12A52
SUSA	12A53
TA~a	12A54
TA~b	12A55
TA~c	12A56
TA~d	12A57
TA~e	12A58
TA~f	12A59
TAG~a1	12A5A
TAG~a1@t	12A5B
TAG~a2	12A5C
TAG~a3	12A5D
TAG~a4	12A5E
TAG~b	12A5F
TAG~c	12A60
TAG~d	12A61
TAK₄~a	12A62
TAK₄~a~v1	12A63
TAK₄~a@n	12A64
TAK₄~c	12A65
TAR~a	12A66
TAR~d	12A67
TE	12A68
TI	12A69
TI~v1	12A6A
TI@t	12A6B
TI@g	12A6C
TI@r	12A6D
TIDNUM	12A6E
TILLA₂	12A6F
TU~a	12A70
TU~b	12A71
TU~c	12A72
TUG₂~a	12A73
TUG₂~a@g	12A74
TUG₂~a@g~v1	12A75
TUG₂~b	12A76
TUG₂~c	12A77
TUG₂~d	12A78
TUM~a	12A79
TUM~a@g	12A7A
TUM~b	12A7B
TUM~c	12A7C
TUM~d	12A7D
