12712	ANŠE~a	o0900093	ANSHE-A
12713	ANŠE~b	o0900094	ANSHE-B
12714	ANŠE~c	o0900095	ANSHE-C
12715	ANŠE~e	o0900096	ANSHE-E
12716	ANZU₂	o0900098	ANZU2
12717	APIN~a	o0900100	APIN-A
12718	APIN~b	o0900101	APIN-B
12719	APIN~c	o0900102	APIN-C
1271A	ARARMA₂~a	o0900106	ARARMA2-A
1271B	ARARMA₂~a~v1	o0900107	ARARMA2-A VARIANT 1
1271C	ARARMA₂~b	o0900108	ARARMA2-B
1271D	ARATTA	o0900109	ARATTA
1271E	ASAL₂	o0900110	ASAL2
1271F	ASAR	o0900111	ASAR
12720	AŠ₂	o0900112	ASH2
12721	AZ	o0900113	AZ
12722	AZU	o0900114	AZU
12723	BA	o0900115	BA
12724	BAD	o0900116	BAD
12725	BAD₃~a	o0900119	BAD3-A
12726	BAD₃~b1	o0900121	BAD3-B1
12727	BAD₃~b2	o0900122	BAD3-B2
12728	BAHAR₂~a	o0900124	BAHAR2-A
12729	BAHAR₂~a~v1	o0900125	BAHAR2-A VARIANT 1
1272A	BAHAR₂~b	o0900126	BAHAR2-B
1272B	BAHAR₂~b~v1	o0900127	BAHAR2-B VARIANT 1
1272C	BAHAR₂~c	o0900128	BAHAR2-C
1272D	BALA~a	o0900130	BALA-A
1272E	BALA~b	o0900131	BALA-B
1272F	BALA~b~v1	o0900132	BALA-B VARIANT 1
12730	BALAG	o0900133	BALAG
12731	BALAG~v1	o0900134	BALAG VARIANT 1
12732	BAN~a	o0900136	BAN-A
12733	BAN~a~v1	o0900137	BAN-A VARIANT 1
12734	BAN~a~v2	o0900138	BAN-A VARIANT 2
12735	BAN~b	o0900139	BAN-B
12736	BANŠUR~a	o0900141	BANSHUR-A
12737	BANŠUR~a@t	o0900146	BANSHUR-A TENU
12738	BANŠUR~b1	o0900142	BANSHUR-B1
12739	BANŠUR~b2	o0900143	BANSHUR-B2
1273A	BANŠUR~c	o0900144	BANSHUR-C
1273B	BAPPIR~a	o0900148	BAPPIR-A
1273C	BAPPIR~b	o0900149	BAPPIR-B
1273D	BAPPIR~c	o0900150	BAPPIR-C
1273E	BAPPIR~d	o0900151	BAPPIR-D
1273F	BAPPIR~e	o0900152	BAPPIR-E
12740	BAPPIR~f	o0900153	BAPPIR-F
12741	BAR	o0900154	BAR
12742	BARA₂~a	o0900158	BARA2-A
12743	BARA₂~a~v1	o0900159	BARA2-A VARIANT 1
12744	BARA₂~b	o0900160	BARA2-B
12745	BARA₂~b~v1	o0900161	BARA2-B VARIANT 1
12746	BARA₃	o0900162	BARA3
12747	BIR~a	o0900165	BIR-A
12748	BIR~b	o0900166	BIR-B
12749	BIR~c	o0900167	BIR-C
1274A	BIR₃~a	o0900169	BIR3-A
1274B	BIR₃~a~v1	o0900170	BIR3-A VARIANT 1
1274C	BIR₃~b	o0900171	BIR3-B
1274D	BIR₃~b~v1	o0900172	BIR3-B VARIANT 1
1274E	BIR₃~c	o0900173	BIR3-C
1274F	BU~a	o0900175	BU-A
12750	BU~a~v1	o0900176	BU-A VARIANT 1
12751	BU~b	o0900177	BU-B
12752	BU₃	o0900205	BU3
12753	BULUG	o0900206	BULUG
12754	BULUG₃	o0900207	BULUG3
12755	BUR~a	o0900211	BUR-A
12756	BUR~b	o0900212	BUR-B
12757	BUR~c	o0900213	BUR-C
12758	BUR~d	o0900214	BUR-D
12759	BUR₂	o0900215	BUR2
1275A	DA~a	o0900217	DA-A
1275B	DA~b	o0900218	DA-B
1275C	DA~c	o0900219	DA-C
1275D	DA~d	o0900220	DA-D
1275E	DAG	o0900223	DAG
1275F	DAH	o0900224	DAH
12760	DAM	o0900225	DAM
12761	DANNA	o0900226	DANNA
12762	DAR~a	o0900228	DAR-A
12763	DAR~b	o0900229	DAR-B
12764	DAR~c	o0900230	DAR-C
12765	DAR~d	o0900231	DAR-D
12766	DARA₃~a	o0900235	DARA3-A
12767	DARA₃~b	o0900236	DARA3-B
12768	DARA₃~c	o0900237	DARA3-C
12769	DARA₃~c~v1	o0900238	DARA3-C VARIANT 1
1276A	DARA₃~d	o0900239	DARA3-D
1276B	DARA₄~a1	o0900249	DARA4-A1
1276C	DARA₄~a2	o0900250	DARA4-A2
1276D	DARA₄~a3	o0900251	DARA4-A3
1276E	DARA₄~b	o0900252	DARA4-B
1276F	DARA₄~c1	o0900254	DARA4-C1
12770	DARA₄~c2	o0900255	DARA4-C2
12771	DARA₄~c3	o0900256	DARA4-C3
12772	DARA₄~c4	o0900257	DARA4-C4
12773	DARA₄~c5	o0900258	DARA4-C5
12774	DI	o0900260	DI
12775	DI@t	o0900261	DI TENU
12776	DIB	o0900262	DIB
12777	DIB~v1	o0900263	DIB VARIANT 1
12778	DILMUN	o0900264	DILMUN
12779	DILMUN~v1	o0900265	DILMUN VARIANT 1
1277A	DILMUN~v2	o0900266	DILMUN VARIANT 2
1277B	DIM~a	o0900269	DIM-A
1277C	DIM~b	o0900270	DIM-B
1277D	DIM~c	o0900271	DIM-C
1277E	DIN	o0900276	DIN
1277F	DIN@t	o0900278	DIN TENU
12780	DU	o0900279	DU
12781	DU@g	o0900282	DU GUNU
12782	DU₆~a	o0900284	DU6-A
12783	DU₆~a~v1	o0900285	DU6-A VARIANT 1
12784	DU₆~b	o0900287	DU6-B
12785	DU₆~c	o0900288	DU6-C
12786	DU₇	o0900291	DU7
12787	DU₈~a	o0900293	DU8-A
12788	DU₈~b	o0900294	DU8-B
12789	DU₈~b~v1	o0900295	DU8-B VARIANT 1
1278A	DU₈~c	o0900296	DU8-C
1278B	DU₈~c@g	o0900309	DU8-C GUNU
1278C	DU₈~c@g~v1	o0900310	DU8-C GUNU VARIANT 1
1278D	DUB~a	o0900312	DUB-A
1278E	DUB~b	o0900313	DUB-B
1278F	DUB~b~v1	o0900314	DUB-B VARIANT 1
12790	DUB~b~v2	o0900315	DUB-B VARIANT 2
12791	DUB~b~v3	o0900316	DUB-B VARIANT 3
12792	DUB~b~v4	o0900317	DUB-B VARIANT 4
12793	DUB~c	o0900318	DUB-C
12794	DUB~d	o0900319	DUB-D
12795	DUB~e	o0900320	DUB-E
12796	DUB~f	o0900321	DUB-F
12797	DUB₂	o0900329	DUB2
12798	DUG~a	o0900331	DUG-A
12799	DUG~a~v1	o0900332	DUG-A VARIANT 1
1279A	DUG~a~v2	o0900333	DUG-A VARIANT 2
1279B	DUG~b	o0900334	DUG-B
1279C	DUG~b~v1	o0900335	DUG-B VARIANT 1
1279D	DUG~c~v1	o0900336	DUG-C
1279E	DUG~c~v3	o0900337	DUG-C VARIANT 1
1279F	DUG~c@t	o0900479	DUG-C TENU
127A0	DUG~d	o0900338	DUG-D
127A1	DUGUD	o0900481	DUGUD
127A2	DUR~a	o0900483	DUR-A
127A3	DUR~b	o0900484	DUR-B
127A4	DUR₂	o0900485	DUR2
127A5	E~a	o0900487	E-A
127A6	E~b	o0900488	E-B
127A7	E~c	o0900489	E-C
127A8	E~d	o0900490	E-D
127A9	E~e	o0900491	E-E
127AA	E₂~a	o0900493	E2-A
127AB	E₂~b	o0900494	E2-B
127AC	E₂~c	o0900495	E2-C
127AD	E₂~d	o0900496	E2-D
127AE	E₃~a	o0900508	E3-A
127AF	E₃~b	o0900510	E3-B
127B0	EDIN	o0900511	EDIN
127B1	EN~a	o0900513	EN-A
127B2	EN~a~v1	o0900514	EN-A VARIANT 1
127B3	EN~a~v2	o0900515	EN-A VARIANT 2
127B4	EN~a~v3	o0900516	EN-A VARIANT 3
127B5	EN~b	o0900517	EN-B
127B6	EN~b~v1	o0900518	EN-B VARIANT 1
127B7	EN~b@t	o0900528	EN-B TENU
127B8	EN~c	o0900519	EN-C
127B9	EN~c~v1	o0900520	EN-C VARIANT 1
127BA	EN~e	o0900521	EN-E
127BB	EN@g~a	o0900525	EN GUNU-A
127BC	EN@g~b	o0900526	EN GUNU-B
127BD	EN₂	o0900529	EN2
127BE	ENDIB	o0900533	ENDIB
127BF	ENGIZ	o0900534	ENGIZ
127C0	ENKUM	o0900535	ENKUM
127C1	ENKUM~v1	o0900536	ENKUM VARIANT 1
127C2	ENLIL	o0900537	ENLIL
127C3	ENSI	o0900538	ENSI
127C4	ENSI₂	o0900539	ENSI2
127C5	ERIM~a	o0900541	ERIM-A
127C6	ERIM~b1	o0900542	ERIM-B1
