pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
|(BU~a&BU~a).X|	|(BU~a&BU~a).X|	False	keep	proposed	12712	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE X
BU~a~v1	BU~a	False	keep	proposed	12713	PROTO-CUNEIFORM SIGN BU-A VARIANT 1
|BU~a~v1×A|	|BU~axA|	False	rename	proposed	12714	PROTO-CUNEIFORM SIGN BU-A VARIANT 1 TIMES A
|(BU~a~v1%BU~a~v1).NA₂~a@n|	|(BU~a&BU~a).NA2~a@n|	False	newglyph rename	proposed	12715	PROTO-CUNEIFORM SIGN BU-A VARIANT 1 CROSSING BU-A VARIANT 1 BESIDE NA2-A NUTILLU
BU~b	BU~b	False	keep	proposed	12716	PROTO-CUNEIFORM SIGN BU-B
|BU~b.NA₂~a~v1|	|BU~b.NA2~a|	False	rename	proposed	12717	PROTO-CUNEIFORM SIGN BU-B BESIDE NA2-A VARIANT 1
BU₃	BU3	False	keep	proposed	12718	PROTO-CUNEIFORM SIGN BU3
BULUG	BULUG	False	keep	proposed	12719	PROTO-CUNEIFORM SIGN BULUG
BULUG₃	BULUG3	False	keep	proposed	1271A	PROTO-CUNEIFORM SIGN BULUG3
BUR~a	BUR~a	False	keep	proposed	1271B	PROTO-CUNEIFORM SIGN BUR-A
BUR~b	BUR~b	False	keep	proposed	1271C	PROTO-CUNEIFORM SIGN BUR-B
BUR~c	BUR~c	False	keep	proposed	1271D	PROTO-CUNEIFORM SIGN BUR-C
BUR~d	BUR~d	False	keep	proposed	1271E	PROTO-CUNEIFORM SIGN BUR-D
BUR₂	BUR2	False	keep	proposed	1271F	PROTO-CUNEIFORM SIGN BUR2
DA~a	DA~a	False	keep	proposed	12720	PROTO-CUNEIFORM SIGN DA-A
|DA~a.LIŠ|	|DA~a.LISZ|	False	keep	proposed	12721	PROTO-CUNEIFORM SIGN DA-A BESIDE LISH
DA~b	DA~b	False	keep	proposed	12722	PROTO-CUNEIFORM SIGN DA-B
DA~c	DA~c	False	keep	proposed	12723	PROTO-CUNEIFORM SIGN DA-C
DA~d	DA~d	False	keep	proposed	12724	PROTO-CUNEIFORM SIGN DA-D
DAG	DAG	False	remove	not_proposed		
DAH	DAH	False	keep	proposed	12725	PROTO-CUNEIFORM SIGN DAH
DAM	DAM	False	keep	proposed	12726	PROTO-CUNEIFORM SIGN DAM
DANNA	DANNA	False	keep	proposed	12727	PROTO-CUNEIFORM SIGN DANNA
DAR~a	DAR~a	False	keep	proposed	12728	PROTO-CUNEIFORM SIGN DAR-A
|DAR~a×A|	|DAR~axA|	False	keep	proposed	12729	PROTO-CUNEIFORM SIGN DAR-A TIMES A
DAR~b	DAR~b	False	keep	proposed	1272A	PROTO-CUNEIFORM SIGN DAR-B
DAR~c	DAR~c	False	keep	proposed	1272B	PROTO-CUNEIFORM SIGN DAR-C
DAR~d	DAR~d	False	keep	proposed	1272C	PROTO-CUNEIFORM SIGN DAR-D
DARA₃~a	DARA3~a	False	keep	proposed	1272D	PROTO-CUNEIFORM SIGN DARA3-A
DARA₃~b	DARA3~b	False	keep	proposed	1272E	PROTO-CUNEIFORM SIGN DARA3-B
DARA₃~c	DARA3~c	False	keep	proposed	1272F	PROTO-CUNEIFORM SIGN DARA3-C
|DARA₃~c×KAR₂~b|	|DARA3~cxKAR2|	False	keep	proposed	12730	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-B
|DARA₃~c×(KAR₂~c.ŠE~a)|	|DARA3~cx(KAR2.SZE~a)|	False	keep	proposed	12731	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-C PLUS SHE-A
DARA₃~c~v1	DARA3~c	False	keep	proposed	12732	PROTO-CUNEIFORM SIGN DARA3-C VARIANT 1
