12754	𒟮	PROTO-CUNEIFORM SIGN ERIM2	o0900544
12755	𒟯	PROTO-CUNEIFORM SIGN ERIN	o0900545
12756	𒟰	PROTO-CUNEIFORM SIGN ESHDA	o0900546
12757	𒟱	PROTO-CUNEIFORM SIGN ESHDA TIMES TAR-A	o0900547
12758	𒟲	PROTO-CUNEIFORM SIGN ESHGAR	o0900548
12759	𒟳	PROTO-CUNEIFORM SIGN EZEN-A	o0900550
1275A	𒟵	PROTO-CUNEIFORM SIGN EZEN-A TIMES HI TIMES ONE-N57 PLUS AN	o0900559
1275B	𒟶	PROTO-CUNEIFORM SIGN EZEN-A TIMES KAB	o0900561
1275C	󳀶	PROTO-CUNEIFORM SIGN EZEN-A TIMES KASH-B	o0900563
1275D	𒟷	PROTO-CUNEIFORM SIGN EZEN-A TIMES KI	o0900565
1275E	𒟹	PROTO-CUNEIFORM SIGN EZEN-A TIMES NIM-B2	o0900573
1275F	𒟺	PROTO-CUNEIFORM SIGN EZEN-A TIMES NIMGIR	o0900575
12760	𒟻	PROTO-CUNEIFORM SIGN EZEN-A TIMES RAD-A	o0900577
12761	𒟽	PROTO-CUNEIFORM SIGN EZEN-A TIMES SU-A	o0900581
12762	𒟾	PROTO-CUNEIFORM SIGN EZEN-A TIMES U2-B PLUS A	o0900583
12763	𒟿	PROTO-CUNEIFORM SIGN EZEN-A TIMES U4	o0900585
12764	𒠃	PROTO-CUNEIFORM SIGN EZEN-B	o0900552
12765	𒠅	PROTO-CUNEIFORM SIGN EZEN-C	o0900554
12766	𒠆	PROTO-CUNEIFORM SIGN EZINU-A	o0900594
12767	𒠇	PROTO-CUNEIFORM SIGN EZINU-B	o0900595
12768	𒠈	PROTO-CUNEIFORM SIGN EZINU-C	o0900596
12769	𒠉	PROTO-CUNEIFORM SIGN EZINU-D	o0900597
1276A	𒠊	PROTO-CUNEIFORM SIGN GA-A	o0900599
1276B	𒠑	PROTO-CUNEIFORM SIGN GA-B	o0900604
1276C	𒠒	PROTO-CUNEIFORM SIGN GA-C	o0900605
1276D	𒠓	PROTO-CUNEIFORM SIGN GA-C TIMES KASKAL	o0900610
1276E	𒠔	PROTO-CUNEIFORM SIGN GA-C TIMES ONE-N14	o0900612
1276F	𒠕	PROTO-CUNEIFORM SIGN GA2-A1	o0900616
12770	𒠖	PROTO-CUNEIFORM SIGN GA2-A1 TIMES A	o0900623
12771	󳀹	PROTO-CUNEIFORM SIGN GA2-A1 TIMES E2-A	o0900628
12772	󳁫	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-A	o0900633
12773	𒠘	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-C3	o0900634
12774	𒠙	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-C5	o0900635
12775	𒠚	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GIR-A	o0900637
12776	𒠛	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GIR-A PLUS KU6-A	o0900639
12777	𒠜	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GISH TENU	o0900641
12778	𒠝	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HAL	o0900648
12779	𒠞	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HI	o0900650
1277A	𒠠	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU3-A	o0900654
1277B	𒠡	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU6-A	o0900657
1277C	𒠢	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU6-A PLUS KU6-A	o0900660
1277D	𒠣	PROTO-CUNEIFORM SIGN GA2-A1 TIMES LAGAB-B	o0900662
1277E	𒠤	PROTO-CUNEIFORM SIGN GA2-A1 TIMES MASH	o0900664
1277F	𒠧	PROTO-CUNEIFORM SIGN GA2-A1 TIMES PAD-B	o0900685
12780	𒠨	PROTO-CUNEIFORM SIGN GA2-A1 TIMES PAP-A	o0900687
12781	𒠩	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SU-A	o0900689
12782	𒠪	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUHUR	o0900691
12783	𒠫	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD	o0900694
12784	𒠮	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUMASH	o0900699
12785	𒠯	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SHA	o0900701
12786	𒠰	PROTO-CUNEIFORM SIGN GA2-A1 TIMES TI	o0900705
12787	𒠱	PROTO-CUNEIFORM SIGN GA2-A1 TIMES U4	o0900707
12788	𒠳	PROTO-CUNEIFORM SIGN GA2-A1 TIMES ONE-N14	o0900666
12789	𒠴	PROTO-CUNEIFORM SIGN GA2-A1 TIMES ONE-N57	o0900668
1278A	𒠶	PROTO-CUNEIFORM SIGN GA2-A2	o0900617
1278B	𒠷	PROTO-CUNEIFORM SIGN GA2-A2 TIMES GU4	o0900644
1278C	𒠸	PROTO-CUNEIFORM SIGN GA2-A2 TIMES NI-A	o0900677
1278D	𒠺	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SUHUR	o0900692
1278E	𒠾	PROTO-CUNEIFORM SIGN GA2-A3	o0900618
1278F	𒡀	PROTO-CUNEIFORM SIGN GA2-A4	o0900619
12790	𒡁	PROTO-CUNEIFORM SIGN GA2-B	o0900620
12791	𒡂	PROTO-CUNEIFORM SIGN GA2-B TIMES DUB-A	o0900625
12792	󳁬	PROTO-CUNEIFORM SIGN GA2-B TIMES KU6-A	o0900658
12793	𒡅	PROTO-CUNEIFORM SIGN GA2-B TIMES ZATU659	o0900715
12794	𒡆	PROTO-CUNEIFORM SIGN GA2-C	o0900621
12795	𒡇	PROTO-CUNEIFORM SIGN GAAR-A1	o0900719
12796	𒡈	PROTO-CUNEIFORM SIGN GAAR-A2	o0900720
12797	𒡉	PROTO-CUNEIFORM SIGN GAAR-B1	o0900721
12798	𒡊	PROTO-CUNEIFORM SIGN GAAR-B2	o0900722
12799	𒡋	PROTO-CUNEIFORM SIGN GADA-A	o0900724
1279A	𒡍	PROTO-CUNEIFORM SIGN GADA-B GUNU	o0900727
1279B	𒡎	PROTO-CUNEIFORM SIGN GAL-A	o0900729
1279C	𒡏	PROTO-CUNEIFORM SIGN GAL-B	o0900730
1279D	𒡐	PROTO-CUNEIFORM SIGN GALGA-A	o0900732
1279E	𒡑	PROTO-CUNEIFORM SIGN GALGA-B	o0900733
1279F	𒡒	PROTO-CUNEIFORM SIGN GAN-A	o0900736
