12A50	𒮵	PROTO-CUNEIFORM SIGN TAK4-A NUTILLU	o0902098
12A51	𒮷	PROTO-CUNEIFORM SIGN TAK4-C	o0902096
12A52	𒮸	PROTO-CUNEIFORM SIGN TAR-A	o0902100
12A53	𒮹	PROTO-CUNEIFORM SIGN TE	o0902102
12A54	𒮺	PROTO-CUNEIFORM SIGN TI	o0902103
12A55	𒮻	PROTO-CUNEIFORM SIGN TI GUNU	o0902105
12A56	𒮼	PROTO-CUNEIFORM SIGN TI REVERSED	o0902106
12A57	𒮽	PROTO-CUNEIFORM SIGN TI TENU	o0902107
12A58	𒮿	PROTO-CUNEIFORM SIGN TIDNUM	o0902108
12A59	𒯀	PROTO-CUNEIFORM SIGN TILLA2	o0902109
12A5A	𒯁	PROTO-CUNEIFORM SIGN TU-A	o0902111
12A5B	𒯂	PROTO-CUNEIFORM SIGN TU-B	o0902112
12A5C	𒯃	PROTO-CUNEIFORM SIGN TU-C	o0902114
12A5D	𒯄	PROTO-CUNEIFORM SIGN TUG2-A	o0902116
12A5E	𒯅	PROTO-CUNEIFORM SIGN TUG2-A BESIDE BAD OVER BAD	o0902121
12A5F	𒯆	PROTO-CUNEIFORM SIGN TUG2-A GUNU	o0902123
12A60	𒯈	PROTO-CUNEIFORM SIGN TUG2-B	o0902117
12A61	𒯉	PROTO-CUNEIFORM SIGN TUG2-C	o0902118
12A62	𒯋	PROTO-CUNEIFORM SIGN TUM-A	o0902128
12A63	𒯌	PROTO-CUNEIFORM SIGN TUM-A GUNU	o0902133
12A64	𒯍	PROTO-CUNEIFORM SIGN TUM-B	o0902129
12A65	𒯎	PROTO-CUNEIFORM SIGN TUM-C	o0902130
12A66	𒯏	PROTO-CUNEIFORM SIGN TUM-D	o0902131
12A67	𒯐	PROTO-CUNEIFORM SIGN TUN3-A	o0902136
12A68	𒯑	PROTO-CUNEIFORM SIGN TUN3-B	o0902137
12A69	𒯒	PROTO-CUNEIFORM SIGN TUN3-C	o0902138
12A6A	𒯓	PROTO-CUNEIFORM SIGN TUR	o0902139
12A6B	𒯔	PROTO-CUNEIFORM SIGN TUR GUNU	o0902144
12A6C	𒯘	PROTO-CUNEIFORM SIGN TUR3-A	o0902146
12A6D	󳀅	PROTO-CUNEIFORM SIGN TUR3-A BESIDE FIVE-N57	o0902150
12A6E	𒯚	PROTO-CUNEIFORM SIGN TUR3-B	o0902147
12A6F	𒯛	PROTO-CUNEIFORM SIGN TUR3-C	o0902148
12A70	𒯜	PROTO-CUNEIFORM SIGN U2-A	o0902156
12A71	𒯝	PROTO-CUNEIFORM SIGN U2-B	o0902157
12A72	𒯠	PROTO-CUNEIFORM SIGN U2-C	o0902160
12A73	𒯡	PROTO-CUNEIFORM SIGN U4	o0902161
12A74	𒯢	PROTO-CUNEIFORM SIGN U4 BESIDE SHU2-B	o0902177
12A75	𒯣	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N8	o0902163
12A76	𒯤	PROTO-CUNEIFORM SIGN U4 BESIDE TWO-N8	o0902164
12A77	𒯥	PROTO-CUNEIFORM SIGN U4 BESIDE THREE-N8	o0902165
12A78	𒯧	PROTO-CUNEIFORM SIGN U4 BESIDE FIVE-N8	o0902167
12A79	𒯨	PROTO-CUNEIFORM SIGN U4 BESIDE SIX-N8	o0902168
12A7A	𒯩	PROTO-CUNEIFORM SIGN U4 BESIDE SEVEN-N8	o0902169
12A7B	𒯪	PROTO-CUNEIFORM SIGN U4 BESIDE EIGHT-N8	o0902170
12A7C	𒯫	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14	o0902171
12A7D	𒯬	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS THREE-N8	o0902172
12A7E	𒯭	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS FOUR-N8	o0902173
12A7F	𒯮	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS FIVE-N8	o0902174
12A80	𒯯	PROTO-CUNEIFORM SIGN U4 BESIDE ONE-N14 PLUS EIGHT-N8	o0902175
12A81	𒯰	PROTO-CUNEIFORM SIGN U4 BESIDE TWO-N14	o0902176
12A82	󳀆	PROTO-CUNEIFORM SIGN U4 JOINING ONE-N24	o0902219
12A83	𒯳	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1	o0902178
12A84	𒯴	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 BESIDE FIVE-N8	o0902179
12A85	󳀇	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 PLUS ONE-N24	o0902180
12A86	𒯵	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1	o0902182
12A87	𒯷	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE TWO-N14	o0902183
12A88	𒯸	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N1 BESIDE TWO-N14 PLUS ONE-N8	o0902184
12A89	𒯹	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N1	o0902186
12A8A	𒯻	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N1	o0902188
12A8B	𒯽	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N1	o0902190
12A8C	𒯾	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N1 BESIDE ONE-N14	o0902191
12A8D	𒯿	PROTO-CUNEIFORM SIGN U4 TIMES SIX-N1	o0902192
12A8E	𒰀	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N1	o0902193
12A8F	𒰃	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14	o0902196
12A90	󳀈	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS ONE-N1	o0902197
12A91	𒰄	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS TWO-N1	o0902198
12A92	𒰅	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS FOUR-N1	o0902200
12A93	𒰆	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N14 PLUS EIGHT-N1	o0902201
12A94	𒰈	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N14 PLUS FOUR-N1	o0902203
12A95	𒰉	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N14 PLUS TWO-N1	o0902204
12A96	𒰊	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N14 PLUS SEVEN-N1	o0902205
12A97	𒰋	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N57	o0902206
12A98	𒰌	PROTO-CUNEIFORM SIGN U4 TIMES TWO-N57	o0902207
12A99	𒰍	PROTO-CUNEIFORM SIGN U4 TIMES THREE-N57	o0902208
12A9A	𒰎	PROTO-CUNEIFORM SIGN U4 TIMES FOUR-N57	o0902209
12A9B	𒰏	PROTO-CUNEIFORM SIGN U4 TIMES FIVE-N57	o0902210
12A9C	𒰐	PROTO-CUNEIFORM SIGN U4 TIMES SIX-N57	o0902211
12A9D	𒰑	PROTO-CUNEIFORM SIGN U4 TIMES SEVEN-N57	o0902212
12A9E	𒰒	PROTO-CUNEIFORM SIGN U4 TIMES EIGHT-N57	o0902213
12A9F	𒰓	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N57	o0902214
12AA0	𒰔	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N58 TENU	o0902215
12AA1	𒰕	PROTO-CUNEIFORM SIGN U4 TENU	o0902226
12AA2	𒰖	PROTO-CUNEIFORM SIGN U8	o0902220
12AA3	𒰗	PROTO-CUNEIFORM SIGN U8 TIMES TAR-B	o0902225
12AA4	𒰛	PROTO-CUNEIFORM SIGN UB	o0902227
12AA5	𒰜	PROTO-CUNEIFORM SIGN UBI-A	o0902229
12AA6	𒰝	PROTO-CUNEIFORM SIGN UBI-C	o0902230
12AA7	󳁎	PROTO-CUNEIFORM SIGN UBI-D	o0902232
12AA8	𒰟	PROTO-CUNEIFORM SIGN UD5-A	o0902234
12AA9	𒰠	PROTO-CUNEIFORM SIGN UD5-A GUNU	o0902241
12AAA	𒰣	PROTO-CUNEIFORM SIGN UD5-B	o0902237
12AAB	𒰤	PROTO-CUNEIFORM SIGN UD5-C	o0902238
12AAC	𒰥	PROTO-CUNEIFORM SIGN UDU-A	o0902243
12AAD	𒰦	PROTO-CUNEIFORM SIGN UDU-A TIMES TAR-A	o0902247
12AAE	𒰧	PROTO-CUNEIFORM SIGN UDU-A TIMES TAR-B	o0902248
12AAF	𒰩	PROTO-CUNEIFORM SIGN UDU-C	o0902245
12AB0	𒰪	PROTO-CUNEIFORM SIGN UDUNITA-A	o0902250
12AB1	𒰫	PROTO-CUNEIFORM SIGN UDUNITA-B	o0902251
12AB2	𒰬	PROTO-CUNEIFORM SIGN UDUNITA-C	o0902252
12AB3	󳁼	PROTO-CUNEIFORM SIGN UDUNITA-D	o0902253
12AB4	𒰮	PROTO-CUNEIFORM SIGN UH3-A	o0902256
12AB5	𒰯	PROTO-CUNEIFORM SIGN UH3-A TENU	o0902259
12AB6	𒰰	PROTO-CUNEIFORM SIGN UH3-B	o0902257
12AB7	𒰱	PROTO-CUNEIFORM SIGN UKKIN-A	o0902261
12AB8	𒰳	PROTO-CUNEIFORM SIGN UKKIN-B	o0902263
12AB9	𒰴	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DIN	o0902268
12ABA	𒰵	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DIN PLUS ONE-N1	o0902270
12ABB	𒰶	PROTO-CUNEIFORM SIGN UKKIN-B TIMES HI GUNU-A	o0902274
12ABC	𒰷	PROTO-CUNEIFORM SIGN UKKIN-B TIMES NI-A	o0902282
12ABD	𒰹	PROTO-CUNEIFORM SIGN UKKIN-B TIMES TWO-N1	o0902276
12ABE	𒰺	PROTO-CUNEIFORM SIGN UKKIN-B TIMES THREE-N1	o0902278
12ABF	𒰻	PROTO-CUNEIFORM SIGN UKKIN-B TIMES FIVE-N1	o0902280
12AC0	𒰽	PROTO-CUNEIFORM SIGN UKKIN-C	o0902265
12AC1	󳁽	PROTO-CUNEIFORM SIGN UKKIN-D	o0902266
12AC2	𒰾	PROTO-CUNEIFORM SIGN UMBIN-A	o0902286
12AC3	𒰿	PROTO-CUNEIFORM SIGN UMBIN-B1	o0902287
12AC4	𒱀	PROTO-CUNEIFORM SIGN UMBIN-B2	o0902288
12AC5	𒱁	PROTO-CUNEIFORM SIGN UMBIN-C	o0902289
12AC6	𒱂	PROTO-CUNEIFORM SIGN UMUN2	o0902290
12AC7	𒱄	PROTO-CUNEIFORM SIGN UNUG-A	o0902293
12AC8	𒱅	PROTO-CUNEIFORM SIGN UNUG-A SHESHIG	o0902300
12AC9	𒱈	PROTO-CUNEIFORM SIGN UNUG-B	o0902295
12ACA	𒱉	PROTO-CUNEIFORM SIGN UNUG-C	o0902296
12ACB	𒱊	PROTO-CUNEIFORM SIGN UR-A	o0902302
12ACC	𒱌	PROTO-CUNEIFORM SIGN UR-A GUNU	o0902308
12ACD	𒱍	PROTO-CUNEIFORM SIGN UR-B	o0902303
12ACE	𒱎	PROTO-CUNEIFORM SIGN UR-C	o0902304
12ACF	𒱏	PROTO-CUNEIFORM SIGN UR2	o0902309
12AD0	𒱐	PROTO-CUNEIFORM SIGN UR2 TIMES TAR-C	o0902311
12AD1	𒱑	PROTO-CUNEIFORM SIGN UR2 TIMES ONE-N57	o0902310
12AD2	𒱒	PROTO-CUNEIFORM SIGN UR3-A1	o0902313
12AD3	𒱔	PROTO-CUNEIFORM SIGN UR3-A2	o0902315
12AD4	𒱕	PROTO-CUNEIFORM SIGN UR3-A3	o0902316
12AD5	𒱖	PROTO-CUNEIFORM SIGN UR3-B1	o0902317
12AD6	𒱘	PROTO-CUNEIFORM SIGN UR3-B2	o0902318
12AD7	𒱙	PROTO-CUNEIFORM SIGN UR4-A	o0902323
12AD8	𒱚	PROTO-CUNEIFORM SIGN UR4-B	o0902324
12AD9	𒱛	PROTO-CUNEIFORM SIGN UR4-C	o0902325
12ADA	𒱜	PROTO-CUNEIFORM SIGN UR5-A	o0902327
12ADB	𒱝	PROTO-CUNEIFORM SIGN UR5-B	o0902328
12ADC	𒱞	PROTO-CUNEIFORM SIGN URI	o0902329
12ADD	𒱟	PROTO-CUNEIFORM SIGN URI3-A	o0902332
12ADE	𒱡	PROTO-CUNEIFORM SIGN URI3-B	o0902334
12ADF	𒱢	PROTO-CUNEIFORM SIGN URI5	o0902337
12AE0	𒱣	PROTO-CUNEIFORM SIGN URU-A1	o0902339
12AE1	𒱦	PROTO-CUNEIFORM SIGN URU-A1 TIMES HI GUNU-A	o0902351
12AE2	󳀛	PROTO-CUNEIFORM SIGN URU-A1 TIMES KI	o0902355
12AE3	𒱧	PROTO-CUNEIFORM SIGN URU-A1 TIMES NIMGIR	o0902365
12AE4	𒱨	PROTO-CUNEIFORM SIGN URU-A1 TIMES U4	o0902367
12AE5	𒱪	PROTO-CUNEIFORM SIGN URU-A1 TIMES ONE-N57	o0902357
12AE6	󳁏	PROTO-CUNEIFORM SIGN URU-A1 TIMES THREE-N57	o0902361
12AE7	𒱭	PROTO-CUNEIFORM SIGN URU-A2	o0902340
12AE8	𒱮	PROTO-CUNEIFORM SIGN URU-A2 TIMES ONE-N58	o0902363
12AE9	𒱯	PROTO-CUNEIFORM SIGN URU-A3 TIMES KALAM-A	o0902353
12AEA	𒱰	PROTO-CUNEIFORM SIGN URU-B1	o0902341
12AEB	𒱱	PROTO-CUNEIFORM SIGN URU-B2	o0902342
12AEC	𒱲	PROTO-CUNEIFORM SIGN URU-C	o0902343
12AED	𒱳	PROTO-CUNEIFORM SIGN URUDU-A	o0902373
12AEE	𒱶	PROTO-CUNEIFORM SIGN URUDU-C	o0902376
12AEF	𒱷	PROTO-CUNEIFORM SIGN URUDU-D	o0902377
12AF0	𒱸	PROTO-CUNEIFORM SIGN URUDU GUNU-A	o0902379
12AF1	𒱺	PROTO-CUNEIFORM SIGN URUDU GUNU-C	o0902381
12AF2	𒱻	PROTO-CUNEIFORM SIGN URUDU GUNU-D	o0902382
12AF3	𒱼	PROTO-CUNEIFORM SIGN USH-A	o0902384
12AF4	𒱽	PROTO-CUNEIFORM SIGN USH-A OVER USH-A	o0902392
12AF5	𒱾	PROTO-CUNEIFORM SIGN USH-B	o0902385
12AF6	𒱿	PROTO-CUNEIFORM SIGN USH-B TIMES TAR-C	o0902388
12AF7	𒲀	PROTO-CUNEIFORM SIGN USH-B OVER USH-B	o0902393
12AF8	𒲃	PROTO-CUNEIFORM SIGN USHUMGAL	o0902394
12AF9	𒲄	PROTO-CUNEIFORM SIGN USHUR3-B1	o0902397
12AFA	𒲅	PROTO-CUNEIFORM SIGN USHUR3-B2	o0902398
12AFB	𒲆	PROTO-CUNEIFORM SIGN UTUA-A	o0902400
12AFC	𒲇	PROTO-CUNEIFORM SIGN UTUA-A TENU	o0902404
12AFD	𒲈	PROTO-CUNEIFORM SIGN UTUA-B	o0902401
12AFE	𒲊	PROTO-CUNEIFORM SIGN UTUL-A	o0902406
12AFF	𒲋	PROTO-CUNEIFORM SIGN UTUL-B	o0902407
12B00	𒲌	PROTO-CUNEIFORM SIGN UTUL-C	o0902408
12B01	𒲍	PROTO-CUNEIFORM SIGN UTUL-D	o0902409
12B02	𒲎	PROTO-CUNEIFORM SIGN UZ-A	o0902411
12B03	𒲏	PROTO-CUNEIFORM SIGN UZU	o0902412
12B04	𒲐	PROTO-CUNEIFORM SIGN ZA-V	o0902416
12B05	𒲑	PROTO-CUNEIFORM SIGN ZABALAM-A	o0902418
12B06	𒲓	PROTO-CUNEIFORM SIGN ZAG-A	o0902422
12B07	𒲕	PROTO-CUNEIFORM SIGN ZAG-B	o0902424
12B08	𒲖	PROTO-CUNEIFORM SIGN ZAG-C	o0902425
12B09	𒲗	PROTO-CUNEIFORM SIGN ZAR-A	o0902427
12B0A	𒲘	PROTO-CUNEIFORM SIGN ZAR-B1	o0902428
12B0B	𒲙	PROTO-CUNEIFORM SIGN ZAR-B2	o0902429
12B0C	𒲚	PROTO-CUNEIFORM SIGN ZAR-C	o0902430
12B0D	𒲛	PROTO-CUNEIFORM SIGN ZATU620	o0902431
12B0E	𒲜	PROTO-CUNEIFORM SIGN ZATU621~a	o0902433
12B0F	𒲝	PROTO-CUNEIFORM SIGN ZATU621~b	o0902434
12B10	𒲞	PROTO-CUNEIFORM SIGN ZATU621~c	o0902435
12B11	𒲟	PROTO-CUNEIFORM SIGN ZATU621~d	o0902436
12B12	𒲠	PROTO-CUNEIFORM SIGN ZATU622	o0902437
12B13	𒲡	PROTO-CUNEIFORM SIGN ZATU623	o0902438
12B14	𒲤	PROTO-CUNEIFORM SIGN ZATU624~a	o0902442
12B15	𒲥	PROTO-CUNEIFORM SIGN ZATU624~b	o0902443
12B16	𒲧	PROTO-CUNEIFORM SIGN ZATU625	o0902445
12B17	𒲩	PROTO-CUNEIFORM SIGN ZATU626~a	o0902448
12B18	𒲪	PROTO-CUNEIFORM SIGN ZATU626~b	o0902449
12B19	𒲫	PROTO-CUNEIFORM SIGN ZATU626~c	o0902450
12B1A	𒲭	PROTO-CUNEIFORM SIGN ZATU628~a	o0902453
12B1B	𒲯	PROTO-CUNEIFORM SIGN ZATU628~b	o0902455
12B1C	𒲰	PROTO-CUNEIFORM SIGN ZATU629	o0902456
12B1D	𒲲	PROTO-CUNEIFORM SIGN ZATU630	o0902458
12B1E	𒲳	PROTO-CUNEIFORM SIGN ZATU631	o0902459
12B1F	𒲴	PROTO-CUNEIFORM SIGN ZATU632~a	o0902461
12B20	𒲶	PROTO-CUNEIFORM SIGN ZATU632~b	o0902463
12B21	𒲸	PROTO-CUNEIFORM SIGN ZATU633~a	o0902466
12B22	𒲹	PROTO-CUNEIFORM SIGN ZATU633~b	o0902467
12B23	𒲻	PROTO-CUNEIFORM SIGN ZATU635	o0902469
12B24	𒲼	PROTO-CUNEIFORM SIGN ZATU636	o0902470
12B25	𒲾	PROTO-CUNEIFORM SIGN ZATU637	o0902472
12B26	𒲿	PROTO-CUNEIFORM SIGN ZATU639	o0902473
12B27	𒳀	PROTO-CUNEIFORM SIGN ZATU640	o0902474
12B28	𒳁	PROTO-CUNEIFORM SIGN ZATU641	o0902475
12B29	𒳂	PROTO-CUNEIFORM SIGN ZATU642	o0902476
12B2A	𒳃	PROTO-CUNEIFORM SIGN ZATU643	o0902477
12B2B	𒳄	PROTO-CUNEIFORM SIGN ZATU644~a	o0902479
12B2C	𒳆	PROTO-CUNEIFORM SIGN ZATU644~b	o0902480
12B2D	𒳇	PROTO-CUNEIFORM SIGN ZATU646	o0902483
12B2E	𒳈	PROTO-CUNEIFORM SIGN ZATU647	o0902484
12B2F	𒳊	PROTO-CUNEIFORM SIGN ZATU648	o0902486
12B30	𒳋	PROTO-CUNEIFORM SIGN ZATU649	o0902487
12B31	𒳍	PROTO-CUNEIFORM SIGN ZATU650	o0902489
12B32	𒳎	PROTO-CUNEIFORM SIGN ZATU651	o0902490
12B33	𒳏	PROTO-CUNEIFORM SIGN ZATU651 TIMES AN	o0902493
12B34	𒳑	PROTO-CUNEIFORM SIGN ZATU651 TIMES GAR	o0902496
12B35	𒳒	PROTO-CUNEIFORM SIGN ZATU651 TIMES MA	o0902497
12B36	𒳓	PROTO-CUNEIFORM SIGN ZATU651 TIMES NUN-A	o0902499
12B37	𒳕	PROTO-CUNEIFORM SIGN ZATU651 TIMES ZAR-C	o0902504
12B38	𒳖	PROTO-CUNEIFORM SIGN ZATU651@g	o0902505
12B39	𒳚	PROTO-CUNEIFORM SIGN ZATU659	o0902506
12B3A	𒳛	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N1	o0902507
12B3B	𒳜	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N14	o0902508
12B3C	𒳝	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N58 TENU	o0902509
12B3D	𒳞	PROTO-CUNEIFORM SIGN ZATU662	o0902511
12B3E	𒳟	PROTO-CUNEIFORM SIGN ZATU662 TIMES ONE-N14	o0902515
12B3F	𒳥	PROTO-CUNEIFORM SIGN ZATU664	o0902518
12B40	𒳦	PROTO-CUNEIFORM SIGN ZATU665	o0902519
12B41	𒳧	PROTO-CUNEIFORM SIGN ZATU666	o0902520
12B42	𒳨	PROTO-CUNEIFORM SIGN ZATU667	o0902521
12B43	𒳩	PROTO-CUNEIFORM SIGN ZATU668	o0902522
12B44	𒳪	PROTO-CUNEIFORM SIGN ZATU669	o0902523
12B45	𒳫	PROTO-CUNEIFORM SIGN ZATU670	o0902524
12B46	𒳬	PROTO-CUNEIFORM SIGN ZATU672	o0902525
12B47	𒳭	PROTO-CUNEIFORM SIGN ZATU674	o0902526
12B48	𒳮	PROTO-CUNEIFORM SIGN ZATU675~a	o0902528
12B49	𒳯	PROTO-CUNEIFORM SIGN ZATU675~b	o0902529
12B4A	𒳱	PROTO-CUNEIFORM SIGN ZATU675~c	o0902531
12B4B	𒳲	PROTO-CUNEIFORM SIGN ZATU675~d	o0902532
12B4C	𒳳	PROTO-CUNEIFORM SIGN ZATU676~a	o0902534
12B4D	𒳴	PROTO-CUNEIFORM SIGN ZATU676~b	o0902535
12B4E	𒳵	PROTO-CUNEIFORM SIGN ZATU677~a	o0902537
12B4F	𒳶	PROTO-CUNEIFORM SIGN ZATU677~b	o0902538
12B50	𒳷	PROTO-CUNEIFORM SIGN ZATU678	o0902539
12B51	𒳸	PROTO-CUNEIFORM SIGN ZATU679	o0902540
12B52	𒳹	PROTO-CUNEIFORM SIGN ZATU680~a1	o0902542
12B53	𒳺	PROTO-CUNEIFORM SIGN ZATU680~a2	o0902543
12B54	𒳻	PROTO-CUNEIFORM SIGN ZATU680~b	o0902544
12B55	𒳽	PROTO-CUNEIFORM SIGN ZATU680~d	o0902546
12B56	𒳾	PROTO-CUNEIFORM SIGN ZATU680~e	o0902547
12B57	𒳿	PROTO-CUNEIFORM SIGN ZATU681	o0902548
12B58	𒴀	PROTO-CUNEIFORM SIGN ZATU682	o0902549
12B59	𒴁	PROTO-CUNEIFORM SIGN ZATU683~a	o0902551
12B5A	𒴂	PROTO-CUNEIFORM SIGN ZATU683~b	o0902552
12B5B	𒴄	PROTO-CUNEIFORM SIGN ZATU684	o0902554
12B5C	𒴅	PROTO-CUNEIFORM SIGN ZATU685	o0902555
12B5D	𒴆	PROTO-CUNEIFORM SIGN ZATU686~a	o0902557
12B5E	𒴇	PROTO-CUNEIFORM SIGN ZATU686~b	o0902558
12B5F	𒴈	PROTO-CUNEIFORM SIGN ZATU686~c	o0902559
12B60	𒴉	PROTO-CUNEIFORM SIGN ZATU687	o0902560
12B61	𒴊	PROTO-CUNEIFORM SIGN ZATU688~a	o0902562
12B62	𒴋	PROTO-CUNEIFORM SIGN ZATU688~b	o0902563
12B63	𒴌	PROTO-CUNEIFORM SIGN ZATU689	o0902564
12B64	𒴍	PROTO-CUNEIFORM SIGN ZATU690	o0902565
12B65	𒴎	PROTO-CUNEIFORM SIGN ZATU691	o0902566
12B66	𒴏	PROTO-CUNEIFORM SIGN ZATU692	o0902567
12B67	𒴐	PROTO-CUNEIFORM SIGN ZATU693	o0902568
12B68	𒴑	PROTO-CUNEIFORM SIGN ZATU693@t	o0902571
12B69	𒴔	PROTO-CUNEIFORM SIGN ZATU694~a	o0902573
12B6A	𒴕	PROTO-CUNEIFORM SIGN ZATU694~b	o0902574
12B6B	𒴖	PROTO-CUNEIFORM SIGN ZATU694~c	o0902575
12B6C	𒴘	PROTO-CUNEIFORM SIGN ZATU694~d	o0902577
12B6D	𒴙	PROTO-CUNEIFORM SIGN ZATU694~d@t	o0902580
12B6E	𒴚	PROTO-CUNEIFORM SIGN ZATU695	o0902581
12B6F	𒴛	PROTO-CUNEIFORM SIGN ZATU696	o0902582
12B70	𒴜	PROTO-CUNEIFORM SIGN ZATU697~a	o0902584
12B71	𒴠	PROTO-CUNEIFORM SIGN ZATU697~b	o0902588
12B72	𒴢	PROTO-CUNEIFORM SIGN ZATU699~a	o0902591
12B73	𒴣	PROTO-CUNEIFORM SIGN ZATU699~b	o0902592
12B74	𒴤	PROTO-CUNEIFORM SIGN ZATU700	o0902593
12B75	𒴥	PROTO-CUNEIFORM SIGN ZATU701	o0902594
12B76	𒴦	PROTO-CUNEIFORM SIGN ZATU702	o0902595
12B77	𒴧	PROTO-CUNEIFORM SIGN ZATU703	o0902596
12B78	𒴨	PROTO-CUNEIFORM SIGN ZATU704	o0902597
12B79	𒴩	PROTO-CUNEIFORM SIGN ZATU705	o0902598
12B7A	𒴪	PROTO-CUNEIFORM SIGN ZATU706	o0902599
12B7B	𒴫	PROTO-CUNEIFORM SIGN ZATU707~a	o0902601
12B7C	𒴬	PROTO-CUNEIFORM SIGN ZATU707~b	o0902602
12B7D	𒴭	PROTO-CUNEIFORM SIGN ZATU708	o0902603
12B7E	𒴮	PROTO-CUNEIFORM SIGN ZATU709	o0902604
12B7F	𒴯	PROTO-CUNEIFORM SIGN ZATU710	o0902605
12B80	𒴱	PROTO-CUNEIFORM SIGN ZATU711	o0902607
12B81	𒴵	PROTO-CUNEIFORM SIGN ZATU713	o0902612
12B82	𒴶	PROTO-CUNEIFORM SIGN ZATU714	o0902613
12B83	𒴷	PROTO-CUNEIFORM SIGN ZATU714 BESIDE RU	o0902614
12B84	𒴸	PROTO-CUNEIFORM SIGN ZATU714 TIMES HI GUNU-A	o0902616
12B85	𒴺	PROTO-CUNEIFORM SIGN ZATU717	o0902618
12B86	𒴻	PROTO-CUNEIFORM SIGN ZATU718	o0902619
12B87	𒴼	PROTO-CUNEIFORM SIGN ZATU719	o0902620
12B88	𒴽	PROTO-CUNEIFORM SIGN ZATU720	o0902621
12B89	𒴾	PROTO-CUNEIFORM SIGN ZATU721	o0902622
12B8A	𒴿	PROTO-CUNEIFORM SIGN ZATU722	o0902623
12B8B	𒵀	PROTO-CUNEIFORM SIGN ZATU723	o0902624
12B8C	𒵁	PROTO-CUNEIFORM SIGN ZATU724	o0902625
12B8D	𒵂	PROTO-CUNEIFORM SIGN ZATU725	o0902626
12B8E	𒵄	PROTO-CUNEIFORM SIGN ZATU726~a	o0902629
12B8F	𒵅	PROTO-CUNEIFORM SIGN ZATU726~c	o0902630
12B90	𒵆	PROTO-CUNEIFORM SIGN ZATU726~d	o0902631
12B91	𒵇	PROTO-CUNEIFORM SIGN ZATU727	o0902632
12B92	𒵈	PROTO-CUNEIFORM SIGN ZATU728	o0902633
12B93	𒵉	PROTO-CUNEIFORM SIGN ZATU729	o0902634
12B94	𒵋	PROTO-CUNEIFORM SIGN ZATU730	o0902636
12B95	𒵌	PROTO-CUNEIFORM SIGN ZATU732	o0902637
12B96	𒵎	PROTO-CUNEIFORM SIGN ZATU734	o0902639
12B97	𒵏	PROTO-CUNEIFORM SIGN ZATU735~a	o0902641
12B98	𒵐	PROTO-CUNEIFORM SIGN ZATU735~b	o0902642
12B99	𒵓	PROTO-CUNEIFORM SIGN ZATU735~c	o0902645
12B9A	𒵔	PROTO-CUNEIFORM SIGN ZATU736~a	o0902647
12B9B	𒵕	PROTO-CUNEIFORM SIGN ZATU736~b	o0902648
12B9C	𒵖	PROTO-CUNEIFORM SIGN ZATU737	o0902649
12B9D	𒵗	PROTO-CUNEIFORM SIGN ZATU737 TIMES AB-A	o0902653
12B9E	𒵘	PROTO-CUNEIFORM SIGN ZATU737 TIMES BU-A	o0902655
12B9F	𒵙	PROTO-CUNEIFORM SIGN ZATU737 TIMES BUR-A	o0902657
12BA0	𒵚	PROTO-CUNEIFORM SIGN ZATU737 TIMES DI	o0902658
12BA1	𒵝	PROTO-CUNEIFORM SIGN ZATU737 TIMES GAR	o0902665
12BA2	𒵞	PROTO-CUNEIFORM SIGN ZATU737 TIMES NI-A GUNU	o0902669
