BAU212b	o0900900	409	1496	GIŠIMMAR~b1~v1	U+F282F	󲠯	
BAU213		410	0					[Omitted]
BAU214	o0901907	411	2631	SUMAŠ	U+F2A51	󲩑	
BAU215	o0901881	412	2597	SUHUR	U+F2A43	󲩃	
BAU216	o0902229	413	5827	UBI~a	U+F2A96	󲪖	
BAU217	o0900724	414	1312	GADA~a	U+F27E6	󲟦	
BAU218	o0901636	415	2325	PAD~a	U+F2992	󲦒	
BAU219	o0900286	416	783	DU₆~a2			
BAU220	o0900724	417	1312	GADA~a	U+F27E6	󲟦	
BAU221	o0900291	418	786	DU₇	U+F2786	󲞆	
BAU222	o0900115	419	122	BA	U+F2723	󲜣	
BAU223		420	0					Sealing only; possibly sequence BA BAR.
BAU224		421	0					[Omitted]
BAU225	o0900050	422	53	ABZU	U+F26F4	󲛴	
BAU226	o0901870	423	2586	SU~a	U+F2A3C	󲨼	
BAU227		424	0					Only on reverse of UET 2 253; probably a drawing rather than a sign.
BAU228	o0901679	425	2385	SAG~v2	U+F29AF	󲦯	
BAU229	o0902064	426	2822	ŠUR₂~b	U+F2A0D	󲨍	
BAU230		427	0					Uncertain; read as sequence ZATU659 E₂~a in CDLI. Green ŠU₂+E₂.
BAU231	o0900912	428	1512	GU₇	U+F2838	󲠸	
BAU232		429	0					[Omitted]
BAU233	o0901030	430	1643	KA~a	U+F287C	󲡼	
BAU234	o0901694	431	2387	SAG@g	U+F29B0	󲦰	
BAU235		432	0					[Omitted]
BAU236	o0901304	433	1919	LU₂	U+F28FD	󲣽	
BAU237	o0900058	434	61	ADDA	U+F26F9	󲛹	
BAU238	o0900058	435	61	ADDA	U+F26F9	󲛹	
BAU239	o0902227	436	5825	UB	U+F2A95	󲪕	
BAU240		437	0					[Omitted]
BAU241		438	0					Read as sequence IGI IGI
BAU242		439	0					[Omitted]
BAU243		440	0					[Omitted]
BAU244		441	0					Read as sequence IGI EŠ₂
BAU245	o0901771	442	2470	SIG₇	U+F2A2E	󲨮	
BAU246	o0900139	443	148	BAN~b	U+F2735	󲜵	
BAU247	o0900797	444	1387	GEŠTU~a	U+F2801	󲠁	
BAU248	o0900543	445	1110	ERIM~b2	U+F27C7	󲟇	
BAU249	o0901421	446	2036	MUŠ₃~a~v2	U+F2931	󲤱	
BAU250		447	0					Sealings only; form is similar to NINDA₂
BAU251	o0900784	448	1376	GAR₃	U+F27FB	󲟻	
BAU252	o0900154	449	163	BAR	U+F2741	󲝁	
BAU253	o0900983	450	1597	IB~a	U+F285B	󲡛	
BAU254		451	0					Read as sequence X KA~a
BAU255	o0900807	452	1418	GI~v1	U+F2809	󲠉	
BAU256	o0900822	453	1412	|GI&GI|	U+F2D26	󲴦	
BAU257		454	0					[Omitted]
BAU257a	o0900830	455	1430	GI₄~b	U+F280C	󲠌	
BAU257b	o0900830	456	1430	GI₄~b	U+F280C	󲠌	
BAU257c	o0900829	457	1427	GI₄~a	U+F280B	󲠋	
BAU257d	o0900830	458	1430	GI₄~b	U+F280C	󲠌	
BAU258	o0902830	459	7135	ZI~a~v1	U+F2C1E	󲰞	
BAU259		460	0					Read as sequence ZI ZI (or possibly |ZI&ZI|)
BAU260	o0900983	461	1597	IB~a	U+F285B	󲡛	
BAU261	o0901187	462	1870	LAGAB~b	U+F28E0	󲣠	
BAU262		463	0					[Omitted]
BAU263	o0900079	464	85	AMA~b	U+F270A	󲜊	
BAU264	o0900262	465	756	DIB	U+F2776	󲝶	
BAU265	o0902222	466	2993	U₈~v2	U+F2A93	󲪓	
BAU266	o0901754	467	2454	SIG₂~a3~v1	U+F2A21	󲨡	
BAU267	o0901656	468	2347	PU₂	U+F299D	󲦝	
BAU268		469	0					[Omitted]
BAU269	o0901863	470	2577	SILA₄~c1	U+F3000	󳀀	
BAU270		471	0					[Omitted]
BAU271	o0901878	472	2593	SUG	U+F2A40	󲩀	
BAU272	o0902243	473	5841	UDU~a	U+F2A9F	󲪟	
BAU273	o0901657	474	2348	RA	U+F299E	󲦞	
BAU274	o0900928	475	1532	GUKKAL			
BAU275	o0902235	476	5833	UD₅~a~v1	U+F2A9A	󲪚	
BAU276		477	0					[Omitted]
BAU277		478	0					[Omitted]
BAU278	o0901861	479	2575	SILA₄~b	U+F2A35	󲨵	
BAU279	o0901930	480	2657	ŠAGAN	U+F29CA	󲧊	
BAU280	o0901879	481	2594	SUG₅	U+F2A41	󲩁	
BAU281		482	0					[Omitted]
BAU282		483	0					[Omitted]
BAU283	o0901102	484	1722	KIN	U+F28A8	󲢨	
BAU284	o0902301	485	5904	UR			
BAU285	o0902324	486	5930	UR₄~b	U+F2AC6	󲫆	
BAU286		487	0					[Omitted]
BAU287		488	0					[Omitted]
BAU288	o0900921	489	1527	GUG₂~v1	U+F283F	󲠿	
BAU289	o0901380	490	1997	ME~a	U+F2912	󲤒	
