id_text	designation	artifact_type	period	provenience	museum_no	accession_no	excavation_no	artifact_comments	seal_information	collections	dates	alternative_years	genres	languages	materials	publications_key	publications_type	publications_exact_ref
P000643	CDLI Lexical 000034, ex. 015	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081225,1		W 23998,1			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22; sec692	history; history; history	pl. 77, W 23998,1; 72; 
P000644	CDLI Lexical Archaic Unidentified, ex. 112	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135500		W 23999,4c			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	076; pl. 98, W 23999,4c
P000645	CDLI Lexical 000023, ex. 036	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081229		W 24004,01			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	77; pl. 58, W 24004,1
P000646	CDLI Lexical Archaic Unidentified, ex. 114	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135506		W 24004,02a			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	077; pl. 98, W 24004,2a
P000647	CDLI Lexical 000026, ex. 018	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135509		W 24004,03a			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	78; pl. 70, W 24004,3a
P000648	CDLI Lexical 000023, ex. 074	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135512		W 24004,04b			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	78; pl. 63, W 24004,4b
P000649	CDLI Lexical Archaic Unidentified, ex. 001	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081231		W 24004,09			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	081; pl. 22, W 24004,9
P000650	CDLI Lexical Archaic Unidentified, ex. 113	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135522		W 24004,14a			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	082; pl. 98, W 24004,14a
P000651	CDLI Lexical Archaic Unidentified, ex. 115	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135524		W 24004,14c			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	082; pl. 99, W 24004,14c
P000652	CDLI Lexical 000022, ex. 022	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135530		W 24006,06			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	084; pl. 41, W 24006,6
P000653	CDLI Lexical 000023, ex. 075	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 24006,06c			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	84; pl. 63, W 24006,6c
P000654	CDLI Lexical 000007, ex. 004	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135537		W 24006,12			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	085; pl. 25, W 24006,12
P000655	CDLI Lexical 000002, ex. 043	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135538		W 24007,2			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	86; pl. 7, W 24007,2
P000656	CDLI Lexical Archaic Unidentified, ex. 126	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135543		W 24007,7			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1376062	history	
P000657	CDLI Lexical Archaic Unidentified, ex. 116	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135544		W 24008,9			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	089; pl. 99, W 24008,9
P000658	CDLI Lexical 000022, ex. 029	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081248		W 24008,10			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	089; pl. 43, W 24008,10
P000659	CDLI Lexical 000026, ex. 052	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081238		W 24008,11			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	89; pl. 74, W 24008,11
P000660	CDLI Lexical 000002, ex. 098	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135546		W 24008,13			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	89; pl. 14, W 24008,13
P000661	CDLI Lexical 000007, ex. 005	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081240		W 24008,16			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	090; pl. 25, W 24008,16
P000662	CDLI Lexical 000002, ex. 024	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135549		W 24008,18			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	91; pl. 4, W 24008,18
P000663	CDLI Lexical 000022, ex. 010	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135554		W 24008,23			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	092; pl. 39, W 24008,23
P000664	CDLI Lexical 0000archun36, ex. 002	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135568		W 24011,5			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	94; pl. 89, W 24011,5
P000665	CDLI Lexical 000022, ex. 030	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135749		W 24012,02			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	096; pl. 43, W 24012,2
