o0903068	ACN	9(N34)	N	-	𒕳,󰂫	o0903068
o0903070	ACN	1(N34@f)	N	-	𒙟	o0903070
o0903071	ACN	2(N34@f)	N	-	𒙠	o0903071
o0903072	ACN	3(N34@f)	N	-	𒙡	o0903072
o0903073	ACN	4(N34@f)	N	-	𒙢	o0903073
o0903074	ACN	5(N34@f)	N	-	𒙣,󰂬	o0903074
o0903075	ACN	6(N34@f)	N	-	𒙤,󰂭	o0903075
o0903076	ACN	7(N34@f)	N	-	𒙥,󰂮	o0903076
o0903077	ACN	8(N34@f)	N	-	𒙦,󰂯	o0903077
o0903078	ACN	9(N34@f)	N	-	𒙧,󰂰	o0903078
o0903069	ACN	1(N34@f@t)	N	-	𒙵	o0903069
o0903079	ACN	1(N35)	N	-	𒗌	o0903079
o0903080	ACN	2(N35)	N	-	𒗍,󰂱	o0903080
o0903319	ACN	3(N35)	N	-	𒗎	-
o0903320	ACN	4(N35)	N	-	𒗏	-
o0903081	ACN	5(N35)	N	-	𒗐,󰂲	o0903081
o0903082	ACN	1(N36)	N	-	𒘖	o0903082
o0903083	ACN	2(N36)	N	-	𒘗,󰂳	o0903083
o0903084	ACN	3(N36)	N	-	𒘘,󰂴	o0903084
o0903085	ACN	4(N36)	N	-	𒘙	o0903085
o0903086	ACN	5(N36)	N	-	𒘚,󰂵	o0903086
o0903087	ACN	6(N36)	N	-	𒘛,󰂶	o0903087
o0903088	ACN	7(N36)	N	-	𒘜,󰂷	o0903088
o0903089	ACN	8(N36)	N	-	𒘝,󰂸	o0903089
o0903090	ACN	9(N36)	N	-	𒘞,󰂹	o0903090
o0903091	ACN	1(N36@f)	N	-	𒚆	o0903091
o0903092	ACN	1(N37)	N	-	𒙁	o0903092
o0903093	ACN	2(N37)	N	-	𒙂,󰂺	o0903093
o0903094	ACN	1(N38)	N	-	𒗟	o0903094
o0903097	ACN	1(N39A)	N	-	𒖶	o0903097
o0903100	ACN	2(N39A)	N	-	𒖷	o0903100
o0903104	ACN	3(N39A)	N	-	𒖸	o0903104
o0903107	ACN	4(N39A)	N	-	𒖹	o0903107
o0903098	ACN	1(N39B)	N	-	𒖺	o0903098
o0903101	ACN	2(N39B)	N	-	𒖻	o0903101
o0903105	ACN	3(N39B)	N	-	𒖼	o0903105
o0903108	ACN	4(N39B)	N	-	𒖽	o0903108
o0903111	ACN	1(N40)	N	-	𒗫	o0903111
o0903112	ACN	2(N40)	N	-	𒗬	o0903112
o0903113	ACN	3(N40)	N	-	𒗭	o0903113
o0903114	ACN	4(N40)	N	-	𒗮	o0903114
o0903115	ACN	1(N41)	N	-	𒘂	o0903115
o0903116	ACN	2(N41)	N	-	𒘃	o0903116
o0903117	ACN	3(N41)	N	-	𒘄	o0903117
o0903118	ACN	4(N41)	N	-	𒘅	o0903118
o0903120	ACN	1(N42A)	N	-	𒘩	o0903120
o0903123	ACN	2(N42A)	N	-	𒘪	o0903123
o0903126	ACN	3(N42A)	N	-	𒘫	o0903126
o0903129	ACN	4(N42A)	N	-	𒘬	o0903129
o0903121	ACN	1(N42B)	N	-	𒘭	o0903121
o0903124	ACN	2(N42B)	N	-	𒘮	o0903124
o0903127	ACN	3(N42B)	N	-	𒘯	o0903127
o0903130	ACN	4(N42B)	N	-	𒘰	o0903130
o0903131	ADD	1(N43)	N	-	󰄍	o0903131
o0903132	ADD	4(N43)	N	-	󰄎	o0903132
o0903133	DNE	1(N44)	N	-	󰃡	o0903133
o0903134	ACN	1(N45)	N	-	𒕹	o0903134
o0903137	ACN	2(N45)	N	-	𒕺,󰂻	o0903137
o0903138	ACN	3(N45)	N	-	𒕻	o0903138
o0903139	ACN	4(N45)	N	-	𒕼	o0903139
o0903140	ACN	5(N45)	N	-	𒕽,󰂼	o0903140
o0903141	ACN	6(N45)	N	-	𒕾,󰂽	o0903141
o0903142	ACN	7(N45)	N	-	𒕿,󰂾	o0903142
o0903306	ACN	8(N45)	N	-	𒖀	-
o0903143	ACN	9(N45)	N	-	𒖁,󰂿	o0903143
o0903144	ACN	1(N45@f)	N	-	𒙨	o0903144
o0903145	ACN	2(N45@f)	N	-	𒙩	o0903145
o0903146	OOR	3(N45@f)	N	-	󰃢	o0903146
o0903147	OOR	4(N45@f)	N	-	󰃣	o0903147
o0903148	OOR	5(N45@f)	N	-	󰃤	o0903148
o0903149	OOR	6(N45@f)	N	-	󰃥	o0903149
o0903150	OOR	7(N45@f)	N	-	󰃦	o0903150
o0903151	OOR	8(N45@f)	N	-	󰃧	o0903151
o0903152	OOR	9(N45@f)	N	-	󰃨	o0903152
o0903135	ACN	1(N45A)	N	-	𒗽	o0903135
o0903153	ACN	1(N46)	N	-	𒘔	o0903153
o0903154	ACN	2(N46)	N	-	𒘕,󰃀	o0903154
o0903155	OOR	3(N46)	N	-	󰃩	o0903155
o0903156	ACN	1(N46@f)	N	-	𒚄	o0903156
o0903157	ACN	2(N46@f)	N	-	𒚅	o0903157
o0903158	ACN	1(N47)	N	-	𒘿	o0903158
o0903159	ACN	2(N47)	N	-	𒙀,󰃁	o0903159
o0903160	OOR	3(N47)	N	-	󰃪	o0903160
o0903161	ACN	1(N48)	N	-	𒕴	o0903161
o0903162	ACN	2(N48)	N	-	𒕵,󰃂	o0903162
o0903163	ACN	3(N48)	N	-	𒕶,󰃃	o0903163
o0903164	ACN	4(N48)	N	-	𒕷	o0903164
o0903165	ACN	5(N48)	N	-	𒕸,󰃄	o0903165
o0903166	OOR	6(N48)	N	-	󰃫	o0903166
o0903167	OOR	7(N48)	N	-	󰃬	o0903167
o0903168	ADD	1(N48@f)	N	-	󰄏	o0903168
o0903169	ACN	1(N49)	N	-	𒘟	o0903169
o0903170	ACN	2(N49)	N	-	𒘠,󰃅	o0903170
o0903171	ACN	3(N49)	N	-	𒘡,󰃆	o0903171
o0903172	ACN	4(N49)	N	-	𒘢	o0903172
o0903173	OOR	5(N49)	N	-	󰃭	o0903173
o0903174	ACN	1(N50)	N	-	𒖂	o0903174
o0903175	ACN	2(N50)	N	-	𒖃,󰃇	o0903175
o0903176	ACN	3(N50)	N	-	𒖄	o0903176
o0903177	ACN	4(N50)	N	-	𒖅	o0903177
o0903178	ACN	5(N50)	N	-	𒖆,󰃈	o0903178
o0903188	ACN	1(N51)	N	-	𒖚	o0903188
o0903189	ACN	2(N51)	N	-	𒖛,󰃉	o0903189
o0903190	ACN	3(N51)	N	-	𒖜	o0903190
o0903191	ACN	4(N51)	N	-	𒖝	o0903191
o0903192	ACN	5(N51)	N	-	𒖞,󰃊	o0903192
o0903193	ACN	6(N51)	N	-	𒖟,󰃋	o0903193
o0903194	ACN	7(N51)	N	-	𒖠,󰃌	o0903194
o0903195	ACN	8(N51)	N	-	𒖡,󰃍	o0903195
o0903307	ACN	9(N51)	N	-	𒖢	-
o0903179	ACN	1(N51@f)	N	-	𒙬	o0903179
o0903180	ACN	2(N51@f)	N	-	𒙭,󰃎	o0903180
o0903181	ACN	3(N51@f)	N	-	𒙮	o0903181
o0903182	ACN	4(N51@f)	N	-	𒙯	o0903182
o0903183	ACN	5(N51@f)	N	-	𒙰,󰃏	o0903183
o0903184	ACN	6(N51@f)	N	-	𒙱,󰃐	o0903184
o0903185	ACN	7(N51@f)	N	-	𒙲,󰃑	o0903185
o0903186	ACN	8(N51@f)	N	-	𒙳,󰃒	o0903186
o0903187	ACN	9(N51@f)	N	-	𒙴,󰃓	o0903187
o0903196	ACN	1(N52)	N	-	𒗠	o0903196
o0903197	ACN	2(N52)	N	-	𒗡,󰃔	o0903197
o0903198	ACN	3(N52)	N	-	𒗢	o0903198
o0903199	ACN	4(N52)	N	-	𒗣	o0903199
o0903200	ACN	5(N52)	N	-	𒗤,󰃕	o0903200
o0903330	ACN	6(N52)	N	-	𒗥	-
o0903331	ACN	7(N52)	N	-	𒗦	-
o0903332	ACN	8(N52)	N	-	𒗧	-
o0903333	ACN	9(N52)	N	-	𒗨	-
o0903201	DNE	3(N53)	N	-	󰃮	o0903201
o0903202	ACN	1(N54)	N	-	𒖣	o0903202
o0903203	ACN	2(N54)	N	-	𒖤,󰃖	o0903203
o0903204	ACN	3(N54)	N	-	𒖥	o0903204
o0903205	ACN	4(N54)	N	-	𒖦	o0903205
o0903206	ACN	5(N54)	N	-	𒖧,󰃗	o0903206
o0903207	DNE	1(N55)	N	-	󰃯	o0903207
o0903208	ACN	1(N56)	N	-	𒖨	o0903208
o0903209	ACN	2(N56)	N	-	𒖩,󰃘	o0903209
o0903210	PC25	1(N57)	N	-	󰄐	o0903210
o0903222	PC25	2(N57)	N	-	󰄑,󲰦	o0903222
o0903234	PC25	3(N57)	N	-	󰄒	o0903234
o0903257	PC25	4(N57)	N	-	󰄓	o0903257
o0903264	PC25	5(N57)	N	-	󰄔	o0903264
o0903268	PC25	6(N57)	N	-	󰄕,󰃙	o0903268
o0903273	PC25	7(N57)	N	-	󰄖,󳄊	o0903273
o0903275	PC25	8(N57)	N	-	󰄗	o0903275
o0903278	PC25	9(N57)	N	-	󰄘	o0903278
o0903279	PC25	10(N57)	N	-	󰄙	o0903279
o0903280	PC25	1(N58)	N	-	󰄚	o0903280
o0903284	PC25	2(N58)	N	-	󰄛	o0903284
o0903285	PC25	3(N58)	N	-	󰄜	o0903285
o0903288	PC25	4(N58)	N	-	󰄝	o0903288
o0903289	PC25	5(N58)	N	-	󰄞	o0903289
o0903290	PC25	8(N58)	N	-	󰄟	o0903290
o0903291	PC25	9(N58)	N	-	󰄠	o0903291
o0903292	PC25	10(N58)	N	-	󰄡	o0903292
o0903293	PC25	12(N58)	N	-	󰄢	o0903293
o0903294	PC25	1(N58@t)	N	-	󰄣	o0903294
o0903295	ADD	1(N59)	N	-	󰄤	-
o0903296	ADD	2(N59)	N	-	󰄥	o0903296
o0903297	ADD	3(N59)	N	-	󰄦	o0903297
o0903298	ADD	4(N59)	N	-	󰄧	o0903298
o0903299	ADD	6(N59)	N	-	󰄨	-
o0903300	DNE	7(N59)	N	-	󳂀	-
o0903301	ACN	1(N60)	N	-	𒗩	o0903301
o0903302	ADD	3(N61)	N	-	󰄩	o0903302
o0903303	ADD	4(N62)	N	-	󰄪	o0903303
o0903304	ADD	1(N63)	N	-	󰄫	o0903304
