o0900319	12794	DUB~d	DUB-D
o0900320	12795	DUB~e	DUB-E
o0900321	12796	DUB~f	DUB-F
o0900329	12797	DUB₂	DUB2
o0900331	12798	DUG~a	DUG-A
o0900332	12799	DUG~a~v1	DUG-A VARIANT 1
o0900333	1279A	DUG~a~v2	DUG-A VARIANT 2
o0900334	1279B	DUG~b	DUG-B
o0900335	1279C	DUG~b~v1	DUG-B VARIANT 1
o0900336	1279D	DUG~c~v1	DUG-C
o0900337	1279E	DUG~c~v3	DUG-C VARIANT 1
o0900479	1279F	DUG~c@t	DUG-C TENU
o0900338	127A0	DUG~d	DUG-D
o0900481	127A1	DUGUD	DUGUD
o0900483	127A2	DUR~a	DUR-A
o0900484	127A3	DUR~b	DUR-B
o0900485	127A4	DUR₂	DUR2
o0900487	127A5	E~a	E-A
o0900488	127A6	E~b	E-B
o0900489	127A7	E~c	E-C
o0900490	127A8	E~d	E-D
o0900491	127A9	E~e	E-E
o0900493	127AA	E₂~a	E2-A
o0900494	127AB	E₂~b	E2-B
o0900495	127AC	E₂~c	E2-C
o0900496	127AD	E₂~d	E2-D
o0900508	127AE	E₃~a	E3-A
o0900510	127AF	E₃~b	E3-B
o0900511	127B0	EDIN	EDIN
o0900513	127B1	EN~a	EN-A
o0900514	127B2	EN~a~v1	EN-A VARIANT 1
o0900515	127B3	EN~a~v2	EN-A VARIANT 2
o0900516	127B4	EN~a~v3	EN-A VARIANT 3
o0900517	127B5	EN~b	EN-B
o0900518	127B6	EN~b~v1	EN-B VARIANT 1
o0900528	127B7	EN~b@t	EN-B TENU
o0900519	127B8	EN~c	EN-C
o0900520	127B9	EN~c~v1	EN-C VARIANT 1
o0900521	127BA	EN~e	EN-E
o0900525	127BB	EN@g~a	EN GUNU-A
o0900526	127BC	EN@g~b	EN GUNU-B
o0900529	127BD	EN₂	EN2
o0900533	127BE	ENDIB	ENDIB
o0900534	127BF	ENGIZ	ENGIZ
o0900535	127C0	ENKUM	ENKUM
o0900536	127C1	ENKUM~v1	ENKUM VARIANT 1
o0900537	127C2	ENLIL	ENLIL
o0900538	127C3	ENSI	ENSI
o0900539	127C4	ENSI₂	ENSI2
o0900541	127C5	ERIM~a	ERIM-A
o0900542	127C6	ERIM~b1	ERIM-B1
o0900543	127C7	ERIM~b2	ERIM-B2
o0900544	127C8	ERIM₂	ERIM2
o0900545	127C9	ERIN	ERIN
o0900546	127CA	EŠDA	ESHDA
