o0027405	6(N19@f)	o0902987
o0031369	6(N20)	o0902996
o0031371	6(N21)	o0903004
o0031373	6(N24)	o0903021
o0031375	6(N34)	o0903065
o0027407	6(N34@f)	o0903075
o0031377	6(N36)	o0903087
o0031381	6(N45)	o0903141
o0031379	6(N45@f)	o0903149
o0031383	6(N48)	o0903166
o0031386	6(N51)	o0903193
o0031384	6(N51@f)	o0903184
o0031388	6(N57)	o0903268
o0035494	6(N57)~v1	o0903269
o0036314	6(N59)	o0903299
o0027409	7(N01)	o0902864
o0027411	7(N01@f)	o0902854
o0031390	7(N02)	o0902876
o0031392	7(N08)	o0902921
o0027413	7(N14)	o0902938
o0027415	7(N14@f)	o0902951
o0031394	7(N18)	o0902968
o0031396	7(N19)	o0902978
o0027417	7(N19@f)	o0902988
o0031398	7(N20)	o0902997
o0031400	7(N23)	o0903014
o0031404	7(N34)	o0903066
o0031402	7(N34@f)	o0903076
o0031406	7(N36)	o0903088
o0031410	7(N45)	o0903142
o0031408	7(N45@f)	o0903150
o0031412	7(N48)	o0903167
o0031415	7(N51)	o0903194
o0031414	7(N51@f)	o0903185
o0031417	7(N57)	o0903273
o0036316	7(N59)	o0903300
o0027419	8(N01)	o0902865
o0027421	8(N01@f)	o0902855
o0031418	8(N02)	o0902877
o0031420	8(N08)	o0902922
o0027423	8(N14)	o0902939
o0027425	8(N14@f)	o0902952
o0031422	8(N18)	o0902969
o0027427	8(N19)	o0902979
o0031424	8(N19@f)	o0902989
o0031425	8(N20)	o0902998
o0031427	8(N34)	o0903067
o0027429	8(N34@f)	o0903077
o0031429	8(N36)	o0903089
o0031431	8(N45@f)	o0903151
o0031433	8(N51)	o0903195
o0027431	8(N51@f)	o0903186
o0031435	8(N57)	o0903275
o0031436	8(N58)	o0903290
o0027433	9(N01)	o0902866
o0035496	9(N01)~v1	o0902867
o0027435	9(N01@f)	o0902856
o0031438	9(N02)	o0902878
o0031440	9(N08)	o0902923
o0027437	9(N14)	o0902940
o0027439	9(N14@f)	o0902953
o0031442	9(N18)	o0902970
o0035498	9(N18)~v1	o0902971
o0031446	9(N19)	o0902980
o0035500	9(N19)~v1	o0902981
o0031444	9(N19@f)	o0902990
o0031448	9(N20)	o0902999
o0031450	9(N34)	o0903068
o0027441	9(N34@f)	o0903078
o0031452	9(N36)	o0903090
o0031456	9(N45)	o0903143
o0031454	9(N45@f)	o0903152
o0027443	9(N51@f)	o0903187
o0031458	9(N57)	o0903278
o0031460	9(N58)	o0903291
o0000087	A	o0900000
o0027505	A@g	o0900008
o0027507	A@t	o0900009
o0000088	AB	o0900011
o0000089	AB@g	o0900039
o0028219	ABGAL	o0900047
o0035508	ABGAL~v1	o0900048
o0028221	ABRIG	o0900049
o0028223	ABZU	o0900050
o0028198	AB~a	o0900012
o0028196	AB~a@g	o0900040
o0035506	AB~a~v1	o0900013
o0028212	AB~b	o0900014
o0000090	AB₂	o0900041
o0036318	AB₂@g	o0900046
o0035504	AB₂~v1	o0900042
o0038070	AB₂~v2	o0903394
o0000092	AD	o0900052
o0028225	ADAB	o0900056
o0037546	ADAB~v1	o0900057
o0028232	ADDA	o0900058
o0028233	ADDA@t	o0900059
o0028227	AD~a	o0900053
o0028229	AD~b	o0900054
o0028231	AD~c	o0900055
o0028234	AGAR₂	o0900060
o0000093	AK	o0900061
o0028236	AK~a	o0900062
o0028237	AK~b	o0900063
o0000094	AL	o0900064
o0000095	ALAN	o0900065
o0028239	ALAN~a	o0900066
o0028240	ALAN~b	o0900067
o0028242	ALAN~c	o0900068
o0028243	ALAN~d	o0900069
o0028245	ALAN~e	o0900070
o0028247	ALAN~f	o0900071
o0028249	ALIM	o0900072
o0036068	AM	o0900073
o0036069	AMA	o0900076
o0000097	AMAR	o0900082
o0028259	AMAR@g	o0900088
o0035514	AMAR~v1	o0900083
o0035516	AMAR~v2	o0900084
