12A35	12B14
12A36	12B15
12A37	12B16
12A38	12B17
12A39	12B18
12A3A	12B19
12A3B	12B1A
12A3C	12B1B
12E38	12B1C
12A3D	12B1D
12A3E	12B1E
12A3F	12B1F
12A40	12B20
12A41	12B21
12A42	12B22
12A43	12B23
12A44	12B24
12A45	12B25
12A46	12B26
12A47	12B27
12E39	12B28
12E3A	12B29
12E3B	F2E3B
12E3C	12B2A
12A48	12B2B
12A49	12B2C
12A4A	12B2D
12A4B	12B2E
12A4C	12B2F
12A4D	12B30
12A4F	12B31
12A4E	12B32
12A50	12B33
12A51	12B34
12A52	12B35
12A53	12B36
129BD	12B37
12DE9	12B38
12DEA	12B39
129C0	12B3A
129BE	12B3B
129BF	12B3C
129C1	12B3D
129C2	12B3E
129C3	12B3F
129C4	12B40
129C5	12B41
129C6	12B42
129C7	12B43
129C8	12B44
129C9	12B45
129CA	12B46
129CB	12B47
129CC	12B48
129CD	12B49
129CE	12B4A
129CF	12B4B
129D0	12B4C
129D1	12B4D
129D2	12B4E
129D3	12B4F
129D4	12B50
129D5	12B51
129D6	12B52
12DEB	12B53
12DEC	12B54
12DED	12B55
12DEE	12B56
129D7	12B57
129D8	12B58
129D9	12B59
129DA	12B5A
129DC	12B5B
129DB	12B5C
129DD	12B5D
129DE	12B5E
129DF	12B5F
129E0	12B60
129E1	12B61
129E2	12B62
129E3	12B63
129E4	12B64
129E5	12B65
129E6	12B66
12DEF	12B67
129E7	12B68
129E8	12B69
129E9	12B6A
129EA	12B6B
129EB	12B6C
129EC	12B6D
129ED	12B6E
129EE	12B6F
129EF	12B70
129F0	12B71
129F1	12B72
129F2	12B73
129F3	12B74
129F4	12B75
129F5	12B76
129F6	12B77
129F7	12B78
129F8	12B79
129F9	12B7A
129FA	12B7B
12DF1	12B7C
12DF2	12B7D
12DF3	12B7E
12DF4	12B7F
12DF0	12B80
12A03	12B81
129FB	12B82
129FC	12B83
129FD	12B84
12A02	12B85
129FE	12B86
12DF5	12B87
129FF	12B88
12DF6	12B89
12A01	12B8A
12DF7	12B8B
12DF8	12B8C
12A00	F2A00
12A04	12B8D
12DF9	12B8E
12DFA	12B8F
12A05	12B90
12A06	F2A06
12A07	12B91
12DFD	12B92
12E00	12B93
12E01	12B94
12E02	12B95
12E04	12B96
12E05	12B97
12A08	12B98
12DFE	12B99
12DFF	12B9A
12E03	12B9B
12DFB	12B9C
12DFC	F2DFC
12A09	12B9D
12A0A	12B9E
12A0B	12B9F
12A0C	12BA0
12A0D	12BA1
12A0E	12BA2
12A0F	12BA3
12A10	12BA4
12A11	12BA5
12A12	F2A12
12A54	12BA6
12A55	12BA7
12A56	12BA8
12A57	12BA9
12E3D	12BAA
12A58	12BAB
12A59	F2A59
12A5A	12BAC
12A5B	12BAD
12A5C	12BAE
12A5D	12BAF
12A5E	12BB0
12A5F	12BB1
12A60	12BB2
12A61	12BB3
12A62	12BB4
12A64	12BB5
12A63	12BB6
12A65	12BB7
12A66	12BB8
12A67	F2A67
12A68	12BB9
12A69	12BBA
12A6C	12BBB
12A6D	12BBC
12A6B	12BBD
12A6A	12BBE
12A6E	12BBF
12A6F	12BC0
12A70	12BC1
12A71	12BC2
12A72	12BC3
12A73	12BC4
12E3E	12BC5
12A74	12BC6
12A75	12BC7
12A76	12BC8
12A77	12BC9
12A78	12BCA
12A79	12BCB
12A7A	12BCC
12A7B	12BCD
12A7C	12BCE
12A7D	12BCF
12A7E	12BD0
12A7F	12BD1
12A80	12BD2
12A81	12BD3
12A85	12BD4
12A82	12BD5
12E3F	F2E3F
12A83	12BD6
12A84	12BD7
12A86	12BD8
12A87	12BD9
12A88	12BDA
12E40	F2E40
12A89	12BDB
12A8A	12BDC
12A8B	12BDD
12A8C	12BDE
12A8D	12BDF
12A8E	12BE0
12A8F	12BE1
12E72	12BE2
12E44	12BE3
12E54	12BE4
12E5B	12BE5
12E61	12BE6
12E65	12BE7
12E68	12BE8
12E6A	12BE9
12E6E	12BEA
12E45	12BEB
12E48	12BEC
12E4A	12BED
12E4B	12BEE
12E4D	12BEF
12E55	12BF0
12E73	12BF1
12E74	12BF2
12E41	12BF3
12E42	12BF4
12E50	12BF5
12E53	12BF6
12E51	12BF7
12E52	12BF8
12E59	12BF9
12E5A	12BFA
12E5F	12BFB
12E60	12BFC
12E63	12BFD
12E64	12BFE
12E67	12BFF
12E6C	12C00
12E6D	12C01
12E71	12C02
12E43	F2E43
12E46	12C03
12E47	12C04
12E49	12C05
12E4C	12C06
12E56	12C07
12E57	12C08
12E5C	12C09
12E5D	12C0A
12E4E	12C0B
12E58	12C0C
12E5E	12C0D
12E62	12C0E
12E66	12C0F
12E69	12C10
12E6B	12C11
12E6F	12C12
12E70	12C13
12E4F	12C14
12A90	12C15
12A91	12C16
12E75	12C17
12A92	12C18
12A93	12C19
12A94	12C1A
12A95	12C1B
12A96	12C1C
12A97	12C1D
12A98	12C1E
12A99	12C1F
12A9C	12C20
12A9A	12C21
12A9B	12C22
12A9D	12C23
12A9E	12C24
12A9F	12C25
12E76	12C26
12E77	12C27
12AA0	12C28
12AA1	12C29
12AA2	12C2A
12AA3	12C2B
12AA4	12C2C
12AA6	12C2D
12AA7	12C2E
12AA8	12C2F
12AA9	12C30
12AAA	12C31
12AAB	12C32
12AAC	12C33
12E7B	12C34
12E7C	12C35
12E7D	F2E7D
12E7E	12C36
12E7F	12C37
12E80	12C38
12E78	12C39
12E79	12C3A
12E7A	12C3B
12AAD	12C3C
12AAE	12C3D
12AAF	12C3E
12AB0	12C3F
12AB1	12C40
12AB2	12C41
12AB3	12C42
12AB4	12C43
12AB5	12C44
12AB7	12C45
12AB6	12C46
12E81	12C47
12AB8	12C48
12AB9	12C49
12ABA	12C4A
12E82	12C4B
12ABB	12C4C
12ABC	12C4D
12ABD	12C4E
12ABE	12C4F
12E84	12C50
12E83	12C51
12ABF	12C52
12AC0	12C53
12AC1	12C54
12AC2	12C55
12AC3	12C56
12E85	12C57
12AC4	12C58
12AC5	12C59
12AC6	12C5A
12AC7	12C5B
12AC8	12C5C
12AC9	12C5D
12ACA	12C5E
12ACB	F2ACB
12ACC	12C5F
12E86	F2E86
12ACD	12C60
12ACE	12C61
12ACF	12C62
12AD0	12C63
12E89	F2E89
12E8A	12C64
12E8B	12C65
12E8C	12C66
12E8D	12C67
12E8E	12C68
12E8F	12C69
12E87	12C6A
12E88	12C6B
12AD1	12C6C
12AD2	12C6D
12E90	12C6E
12E91	12C6F
12AD3	12C70
12AD4	12C71
12AD5	12C72
12AD6	12C73
12AD7	12C74
12AD8	12C75
12AD9	12C76
12ADA	12C77
12ADB	12C78
12ADC	12C79
12ADD	12C7A
12ADE	12C7B
12ADF	12C7C
12E92	12C7D
12AE0	12C7E
12E94	12C7F
12E95	F2E95
12E96	12C80
12AE1	12C81
12E93	12C82
12AE2	12C83
12AE3	F2AE3
12AE4	12C84
12AE5	12C85
12AE6	12C86
12AE7	12C87
12AE8	12C88
12AE9	12C89
12AEA	12C8A
12AEB	12C8B
12AEC	12C8C
12AED	12C8D
FFFFA	12C8E
12AEE	12C8F
12AEF	12C90
12AF0	12C91
12AF1	12C92
12AF2	F2AF2
12AF3	12C93
12AF4	12C94
12AF5	12C95
12AF6	12C96
12AF7	12C97
12AF8	12C98
12AF9	12C99
12AFA	12C9A
12AFB	12C9B
12AFC	12C9C
12AFD	12C9D
12AFE	12C9E
12AFF	12C9F
12B00	12CA0
12B01	12CA1
12B02	12CA2
12B03	12CA3
12B04	12CA4
12B05	12CA5
12B06	12CA6
12B07	12CA7
12B08	12CA8
12B09	12CA9
12B0A	12CAA
12B0B	12CAB
12B0C	12CAC
12B0D	12CAD
12B0E	12CAE
12B0F	12CAF
12B10	12CB0
12B11	12CB1
12B12	12CB2
12B13	12CB3
12B14	12CB4
12B15	12CB5
12B16	12CB6
12B17	12CB7
12B18	12CB8
12B19	12CB9
12B1A	12CBA
12B1B	12CBB
12B1C	12CBC
12B1D	12CBD
12B1E	12CBE
12B1F	12CBF
12B20	12CC0
12B21	12CC1
12B22	12CC2
12B23	12CC3
12B24	12CC4
12E97	12CC5
12B25	12CC6
12B26	12CC7
12B27	12CC8
12B28	12CC9
12B29	12CCA
12B2A	12CCB
12B2B	12CCC
12B2C	12CCD
12B2D	12CCE
12E98	12CCF
12E99	12CD0
