o0903069	12675	1(N34@f@t)	ONE N34 FLAT TENU
o0902889	12676	1(N04@f)	ONE N04 FLAT
o0902890	12677	2(N04@f)	TWO N04 FLAT
o0902891	12678	3(N04@f)	THREE N04 FLAT
o0902892	12679	4(N04@f)	FOUR N04 FLAT
o0902893	1267A	5(N04@f)	FIVE N04 FLAT
o0902982	1267B	1(N19@f)	ONE N19 FLAT
o0902983	1267C	2(N19@f)	TWO N19 FLAT
o0902984	1267D	3(N19@f)	THREE N19 FLAT
o0902985	1267E	4(N19@f)	FOUR N19 FLAT
o0902986	1267F	5(N19@f)	FIVE N19 FLAT
o0902987	12680	6(N19@f)	SIX N19 FLAT
o0902988	12681	7(N19@f)	SEVEN N19 FLAT
o0902989	12682	8(N19@f)	EIGHT N19 FLAT
o0902990	12683	9(N19@f)	NINE N19 FLAT
o0903156	12684	1(N46@f)	ONE N46 FLAT
o0903157	12685	2(N46@f)	TWO N46 FLAT
o0903091	12686	1(N36@f)	ONE N36 FLAT
