P000705	CDLI Lexical 000007, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 05
P003536	ATU 7, pl. 043, W 20274,38	Green, Margaret W., JNES 39 (1980) 023 07
P003537	ATU 7, pl. 044-45, W 20274,39	ATU 2, plate 31 (p); copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 166-167 fig. 59
P003538	ATU 7, pl. 044, W 20274,40	ATU 2, plate 30 obv. (p, c)
P003542	ATU 7, pl. 045, W 20274,44	
P003544	ATU 7, pl. 046, W 20274,46	
P003545	ATU 7, pl. 046, W 20274,47	
P003546	ATU 7, pl. 046, W 20274,48	
P003547	ATU 7, pl. 046, W 20274,49	
P003550	ATU 7, pl. 046, W 20274,52	
P003552	ATU 7, pl. 047, W 20274,54	
P003553	ATU 7, pl. 047, W 20274,55	Green, Margaret W., JNES 39 (1980) 020 01; Frühe Schrift p. 133, no. 14.4; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 145 fig. 49
P003554	ATU 7, pl. 047, W 20274,56	
P003559	ATU 7, pl. 047, W 20274,61	Green, Margaret W., JNES 39 (1980) 024 09
P003560	ATU 7, pl. 047, W 20274,62+	
P003561	ATU 7, pl. 048, W 20274,63	Green, Margaret W., JNES 39 (1980) 032 36; Frühe Schrift p. 132 14.2; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 144 fig. 49
P003562	ATU 7, pl. 048, W 20274,64	
P003563	ATU 7, pl. 048, W 20274,65	Green, Margaret W., JNES 39 (1980) 029 25
P003564	ATU 7, pl. 048, W 20274,66	
P003565	ATU 7, pl. 048, W 20274,67	Green, Margaret W., JNES 39 (1980) 030 29
P003566	ATU 7, pl. 048, W 20274,68	
P003567	ATU 7, pl. 049, W 20274,69	
P003568	ATU 7, pl. 049, W 20274,70	
P003589	ATU 7, pl. 049, W 20274,91	
P003590	ATU 7, pl. 049, W 20274,92	
P003591	ATU 7, pl. 049, W 20274,93	Copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 178 fig. 67
P003592	ATU 7, pl. 050, W 20274,94	
P003594	ATU 7, pl. 050, W 20274,96	ATU 2, plate 54; Spektrum der Wissenschaft, Februar 1988, 80 (p); Frühe Schrift p. 179, no. 18.11, s. p. 200
P003595	ATU 7, pl. 050, W 20274,97	ATU 2, plate 55 obv. (p); Spektrum der Wissenschaft, March 1988, 47 obv. (p); Frühe Schrift p. 136, no. 14.5; Natuur & Techniek 59/9 (1991) 700 ((p)); copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998
P003596	ATU 7, pl. 050, W 20274,98	
P003597	ATU 7, pl. 051, W 20274,99	
P003598	ATU 7, pl. 051, W 20274,100	
