558	𒢉	GA’AR~b2	GAAR‐B2
559	𒢊	GADA~a	GADA‐A
560	𒢋	GADA~b	GADA‐B
561	𒢌	GADA~b@g	GADA‐B GUNU
562	𒢍	GAL~a	GAL‐A
563	𒢎	GAL~b	GAL‐B
564	𒢏	GALGA~a	GALGA‐A
565	𒢐	GALGA~b	GALGA‐B
566		GAN~a	GAN‐A
566.1		GAN~a	GAN‐A VARIANT 1
567		GAN~b	GAN‐B
567.1		GAN~b	GAN‐B VARIANT 1
567.2		GAN~b	GAN‐B VARIANT 2
567.3		GAN~b	GAN‐B VARIANT 3
568		GAN~c	GAN‐C
568.1		GAN~c	GAN‐C VARIANT 1
569	𒢠	GAN~d	GAN‐D
570	𒢣	GAN2	GAN2
571	𒢤	GAR	GAR
572	𒢥	GAR@g~a	GAR GUNU‐A
