o0980224	12741	𒝁	|DUG~b×ANŠE~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-B
o0980225	12742	𒝂	|DUG~b×ANŠE~d|	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-D
o0980227	12743	𒝃	|DUG~b×BALA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES BALA-A
o0980228	12744	𒝄	|DUG~b×BIR₃~c|	PROTO-CUNEIFORM SIGN DUG-B TIMES BIR3-C
o0980229	12745	𒝅	|DUG~b×DIN|	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN
o0980230	12746	𒝆	|(DUG~b×DIN)@r|	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN REVERSED
o0980232	12747	𒝇	|DUG~b×GA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-A
o0980233	12748	𒝈	|DUG~b×GA~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-B
o0980234	12749	𒝉	|DUG~b×GEŠTU~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-A
o0980235	1274A	𒝊	|DUG~b×GEŠTU~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-B
o0980236	1274B	𒝋	|DUG~b×GI₆|	PROTO-CUNEIFORM SIGN DUG-B TIMES GI6
o0980237	1274C	𒝌	|DUG~b×GIŠ|	PROTO-CUNEIFORM SIGN DUG-B TIMES GISH
o0980238	1274D	𒝍	|DUG~b×HI|	PROTO-CUNEIFORM SIGN DUG-B TIMES HI
o0980239	1274E	𒝎	|DUG~b×HI@g~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES HI GUNU-A
o0980240	1274F	𒝏	|DUG~b×KASKAL|	PROTO-CUNEIFORM SIGN DUG-B TIMES KASKAL
o0980241	12750	𒝐	|DUG~b×KU₆~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES KU6-A
o0980242	12751	𒝑	|DUG~b×KUR~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A
o0980244	12752	𒝒	|DUG~b×KUR~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-B
o0980245	12753	𒝓	|DUG~b×KUR@g~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR GUNU-A
o0980246	12754	𒝔	|DUG~b×LAM~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES LAM-A
o0980247	12755	𒝕	|DUG~b×MAŠ|	PROTO-CUNEIFORM SIGN DUG-B TIMES MASH
o0980248	12756	𒝖	|DUG~b×NAGA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES NAGA-A
o0980249	12757	𒝗	|DUG~b×NAM₂|	PROTO-CUNEIFORM SIGN DUG-B TIMES NAM2
o0980251	12758	𒝘	|DUG~b×SA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A
