o0901184	128B9	LA₂
o0901186	128BA	LAGAB~a
o0903611	128BB	|LAGAB~a×DU₆~a|
o0901207	128BC	|LAGAB~a×KU₆~a|
o0901209	128BD	|LAGAB~a×(KU₆~a+KU₆~a)|
o0901213	128BE	|LAGAB~a×KUŠU₂~a@t|
o0901219	128BF	|LAGAB~a×ME~a|
o0901229	128C0	|LAGAB~a×NUN~b|
o0901231	128C1	|LAGAB~a×PA~a|
o0903613	128C2	|LAGAB~a×SIG₇|
o0901239	128C3	|LAGAB~a×SU~a|
o0901243	128C4	|LAGAB~a×ŠA|
o0901245	128C5	|LAGAB~a×ŠITA~a1|
o0901248	128C6	|LAGAB~a×TI|
o0901250	128C7	|LAGAB~a×U₄|
o0901253	128C8	|LAGAB~a×UB|
o0901258	128C9	|LAGAB~a×ZATU753|
o0901223	128CA	|LAGAB~a×2(N14)|
o0901225	128CB	|LAGAB~a×1(N58)|
o0901187	128CC	LAGAB~b
o0901201	128CD	|LAGAB~b×HI|
o0901211	128CE	|LAGAB~b×KUR~e|
o0901232	128CF	|LAGAB~b×PA~a|
o0901251	128D0	|LAGAB~b×U₄|
o0901260	128D1	|LAGAB~b&LAGAB~b|
o0901262	128D2	LAGAR~a
o0901267	128D3	LAGAR~a@r
o0901263	128D4	LAGAR~b1
o0901264	128D5	LAGAR~b2
o0901265	128D6	LAGAR~c
o0901270	128D7	LAL₂~a
o0901275	128D8	|LAL₂~a×NAGA~a|
o0901277	128D9	|LAL₂~a×NIM~b2|
o0901271	128DA	LAL₂~b
o0901279	128DB	LAL₃~a
o0901283	128DC	LAM~a
o0901284	128DD	LAM~b
o0901290	128DE	LAM~b@r
o0901294	128DF	LAM~b@t
o0901303	128E0	LIŠ
o0901304	128E1	LU₂
o0901310	128E2	LUGAL
o0901312	128E3	LUM
o0901313	128E4	MA
o0903615	128E5	|MA×A|
o0901316	128E6	|MA×MA|
o0901318	128E7	|MA×1(N58)|
o0901320	128E8	MA₂
o0901322	128E9	MAGUR~a
o0901325	128EA	MAH~a
o0901328	128EB	|MAH~a×AB₂|
o0901330	128EC	|MAH~a×GUKKAL~a|
o0901332	128ED	|MAH~a×KU₆~a|
o0901335	128EE	|MAH~a×MAŠ|
o0901338	128EF	|MAH~a×NA~a|
o0901343	128F0	|MAH~a×(SILA₃~a×UMBIN~a)|
o0901345	128F1	|MAH~a×TUG₂~a|
o0901347	128F2	|MAH~a×TUN₃~c|
o0903616	128F3	|MAH~a×UD₅~a|
o0901351	128F4	|MAH~a×UDU~a|
o0901353	128F5	|MAH~a×UR~a|
o0901355	128F6	|MAH~a×UTUA~a|
o0901359	128F7	|MAH~a×ZATU659|
o0901326	128F8	MAH~b
o0901339	128F9	|MAH~b×NA~a|
o0901341	128FA	|MAH~b×SAL|
o0901361	128FB	MAR~a
o0901373	128FC	MAR~a@g
o0901375	128FD	MAR~a@t
o0901363	128FE	MAR~b
o0901365	128FF	|MAR~b×GAR|
o0903617	12900	|MAR~b×(LAGAB~b.ŠE₃)|
o0901369	12901	|MAR~b×ŠE~a|
o0901376	12902	MAŠ
o0901377	12903	MAŠ₂
o0901378	12904	MAŠ₂@g
o0901380	12905	ME~a
o0901381	12906	ME~b
o0901382	12907	ME₃
o0901384	12908	MEN~a
o0901386	12909	MEN~b
o0901387	1290A	MES
o0901390	1290B	MIR~a
o0901391	1290C	MIR~b
o0901392	1290D	MU
o0901393	1290E	MUD
o0901396	1290F	MUD₃~a
o0901401	12910	MUD₃~a@g
o0901397	12911	MUD₃~b
o0901398	12912	MUD₃~c
o0901399	12913	MUD₃~d
o0901404	12914	MUL
o0901407	12915	MUN~a1
o0901408	12916	MUN~a2
o0901409	12917	MUN~a3
o0901410	12918	MUN~a4
o0901411	12919	MUN~b
o0901413	1291A	MUNŠUB~a
o0901414	1291B	MUNŠUB~b
o0901415	1291C	MUNU₃
o0901417	1291D	MUŠ
o0901419	1291E	MUŠ₃~a
o0901424	1291F	MUŠ₃~a@g
o0901422	12920	MUŠ₃~b
o0901426	12921	MUŠEN
o0901430	12922	|MUŠEN×1(N57)|
o0901431	12923	|MUŠEN×2(N57)|
o0901432	12924	|MUŠEN×3(N57)|
o0903281	12925	|1(N58).BAD|
o0903283	12926	|(1(N58).BAD)~b|
o0903287	12927	|3(N58).UR₃~b1|
o0901437	12928	NA~a
o0901438	12929	NA~b
o0901439	1292A	NA~c
o0901442	1292B	NA₂~a
o0901444	1292C	NA₂~b1
o0901445	1292D	NA₂~b2
o0901446	1292E	NA₂~c
o0901448	1292F	NAB
o0901452	12930	NAGA~a
o0901455	12931	|NAGA~a×TAK₄~a|
o0901453	12932	NAGA~b
o0901457	12933	NAGAR~a
o0901461	12934	NAGAR~b
o0901464	12935	NAM~a
o0901465	12936	NAM~b
o0901466	12937	NAM~c
o0901467	12938	NAM~d
o0901468	12939	NAM₂
o0901469	1293A	|NAM₂×1(N01)|
o0901470	1293B	NAM₂@g
o0901471	1293C	NAM₂@t
o0901479	1293D	NANŠE~a
o0901480	1293E	NANŠE~b
o0901481	1293F	NAR
o0901483	12940	NE~a
o0901486	12941	NE~b
o0901487	12942	NE~c
o0901488	12943	NE~d
o0901493	12944	NESAG₂~a
o0901496	12945	NESAG₂~b
o0901501	12946	NI~a
o0901512	12947	NI~a@g
o0901502	12948	NI~b
o0901508	12949	|NI~b×4(N57)|
o0903277	1294A	|NI~b×8(N57)|
o0901513	1294B	NI₂
o0901514	1294C	NIGIN
o0901516	1294D	NIM~a
o0901517	1294E	NIM~b1
o0901518	1294F	NIM~b2
o0901519	12950	NIM~b3
o0901521	12951	NIMGIR
o0901525	12952	NINDA₂
o0901527	12953	|NINDA₂×AN|
o0901528	12954	|NINDA₂×(AN.HI)|
o0901535	12955	|NINDA₂×(AN.ME~a)|
o0901540	12956	|NINDA₂×EZEN~b|
o0901542	12957	|NINDA₂×GAʾAR~a1|
o0901543	12958	|NINDA₂×GAR|
o0901544	12959	|NINDA₂×GIŠ|
o0901547	1295A	|NINDA₂×GU₄|
o0901548	1295B	|NINDA₂×HI|
o0901533	1295C	|NINDA₂×(HI.AN.ME~a)|
o0901530	1295D	|NINDA₂×(HI.ME~a)|
o0901553	1295E	|NINDA₂×KAŠ~b|
o0901555	1295F	|NINDA₂×MAR~a|
o0901556	12960	|NINDA₂×MAR~b|
o0901564	12961	|NINDA₂×NUN~a|
o0901567	12962	|NINDA₂×U₄|
o0901575	12963	|NINDA₂×(ZATU659×1(N01))|
o0901576	12964	|NINDA₂×ZATU710|
o0901557	12965	|NINDA₂×1(N01)|
o0901558	12966	|NINDA₂×2(N01)|
o0901551	12967	|NINDA₂×(1(N06).HI@g~a)|
o0901560	12968	|NINDA₂×1(N08)|
o0901580	12969	NIR~a
o0901583	1296A	|NIR~a×AN|
o0901581	1296B	NIR~b
o0901584	1296C	NU
o0901585	1296D	NU@g
o0901586	1296E	NU₁₁
o0901587	1296F	|NU₁₁&NU₁₁|
o0901588	12970	NU₁₁@t
o0901589	12971	NUMUN
o0901592	12972	NUN~a
o0901603	12973	|NUN~a+A|
o0903619	12974	|NUN~a+EN~a|
o0903620	12975	|NUN~a+EN~b|
o0901608	12976	|NUN~a+EN~d|
o0901611	12977	|NUN~a+NAM₂|
o0901593	12978	NUN~b
o0901609	12979	|NUN~b+EN~a|
o0901594	1297A	NUN~c
o0901598	1297B	NUN~d
o0901613	1297C	NUNUZ~a0
o0901614	1297D	NUNUZ~a1
o0901615	1297E	NUNUZ~a2
o0901616	1297F	NUNUZ~b1
o0901618	12980	NUNUZ~c
o0901625	12981	PA~a
