id_text	publications_key
P000709	Englund2001ATU7; sec818
P000710	Englund2001ATU7
P000711	Englund2001ATU7
P000712	Englund2001ATU7
P000713	Englund1991MSVO1; Englund1993ATU3; Langdon1928OECT7
P000714	Englund1991MSVO1; Englund1993ATU3; Langdon1928OECT7
P000730	Englund1994ATU5; Falkenstein1936ATU1
P000731	Englund1994ATU5; Falkenstein1936ATU1
P000732	Englund1994ATU5; Falkenstein1936ATU1
P000733	Englund1994ATU5; Falkenstein1936ATU1
P000734	Englund1994ATU5; Falkenstein1936ATU1; Green1987ATU2; Nissen1991FrüheSchrift; sec990064; Woods2010writing
P000735	Englund1994ATU5; Falkenstein1936ATU1; Green1987ATU2; Nissen1991FrüheSchrift; sec847; Woods2010writing
P000736	Englund1994ATU5; Falkenstein1936ATU1; Green1987ATU2
P000737	Englund1994ATU5; Falkenstein1936ATU1; Green1987ATU2
P000738	Englund1994ATU5
P000739	Englund1994ATU5
P000740	Englund1994ATU5; Falkenstein1936ATU1
P000741	Englund1994ATU5
P000742	Englund1994ATU5; Falkenstein1936ATU1
P000743	Englund1994ATU5; Falkenstein1936ATU1
P000744	Englund1994ATU5; Falkenstein1936ATU1
P000745	Englund1994ATU5; Falkenstein1936ATU1
P000746	Englund1994ATU5
P000747	Englund1994ATU5; Falkenstein1936ATU1
P000748	Englund1994ATU5; Falkenstein1936ATU1
P000749	Englund1994ATU5; Falkenstein1936ATU1
P000750	Englund1994ATU5; Falkenstein1936ATU1
P000751	Englund1994ATU5; Falkenstein1936ATU1
P000752	Englund1994ATU5; Falkenstein1936ATU1
P000753	Englund1994ATU5; Englund1998OBO160/1
P000754	Englund1994ATU5
P000755	Englund1994ATU5
P000756	Englund1994ATU5
P000757	Englund1994ATU5; Falkenstein1936ATU1; sec867
P000758	Englund1994ATU5; Falkenstein1936ATU1
P000759	Englund1994ATU5; Falkenstein1936ATU1; Green1987ATU2
P000760	Englund1994ATU5; Falkenstein1936ATU1; Green1987ATU2
P000761	Englund1994ATU5; Falkenstein1936ATU1
P000762	Englund1994ATU5; Falkenstein1936ATU1
P000763	Englund1994ATU5; Falkenstein1936ATU1
P000764	Englund1994ATU5; Falkenstein1936ATU1
P000765	Englund1994ATU5; Falkenstein1936ATU1
P000766	Englund1994ATU5; Falkenstein1936ATU1
P000767	Englund1994ATU5; Falkenstein1936ATU1
P000768	Englund1994ATU5; Falkenstein1936ATU1
P000769	Englund1994ATU5; Falkenstein1936ATU1
P000770	Englund1994ATU5; Falkenstein1936ATU1
P000771	Englund1994ATU5; Falkenstein1936ATU1
P000772	Englund1994ATU5; Falkenstein1936ATU1
P000773	Englund1994ATU5
P000775	Englund1994ATU5; Falkenstein1936ATU1
P000776	Englund1994ATU5; Falkenstein1936ATU1; sec887
P000778	Englund1994ATU5
P000779	Englund1994ATU5; Falkenstein1936ATU1
P000780	Englund1994ATU5; Falkenstein1936ATU1
P000781	Englund1994ATU5
